GO:0009987	P	0.64	cellular process
GO:0044699	P	0.55	single-organism process
GO:0044763	P	0.46	single-organism cellular process
GO:0065007	P	0.42	biological regulation
GO:0050789	P	0.35	regulation of biological process
GO:0044767	P	0.34	single-organism developmental process
GO:0050794	P	0.33	regulation of cellular process
GO:0016043	P	0.33	cellular component organization
GO:0032501	P	0.29	multicellular organismal process
GO:0048856	P	0.25	anatomical structure development
GO:0044707	P	0.22	single-multicellular organism process
GO:0008152	P	0.22	metabolic process
GO:0071704	P	0.21	organic substance metabolic process
GO:0044238	P	0.21	primary metabolic process
GO:0044237	P	0.20	cellular metabolic process
GO:0043170	P	0.19	macromolecule metabolic process
GO:0006996	P	0.19	organelle organization
GO:0044260	P	0.18	cellular macromolecule metabolic process
GO:0007165	P	0.17	signal transduction
GO:0065008	P	0.16	regulation of biological quality
GO:0048518	P	0.16	positive regulation of biological process
GO:0009653	P	0.16	anatomical structure morphogenesis
GO:0051179	P	0.15	localization
GO:0007010	P	0.15	cytoskeleton organization
GO:0080090	P	0.14	regulation of primary metabolic process
GO:0060255	P	0.14	regulation of macromolecule metabolic process
GO:0050896	P	0.14	response to stimulus
GO:0048869	P	0.14	cellular developmental process
GO:0048522	P	0.14	positive regulation of cellular process
GO:0048519	P	0.14	negative regulation of biological process
GO:0031323	P	0.14	regulation of cellular metabolic process
GO:1902589	P	0.13	single-organism organelle organization
GO:0022607	P	0.13	cellular component assembly
GO:0007166	P	0.12	cell surface receptor signaling pathway
GO:2000112	P	0.11	regulation of cellular macromolecule biosynthetic process
GO:0051641	P	0.11	cellular localization
GO:0051252	P	0.11	regulation of RNA metabolic process
GO:0051234	P	0.11	establishment of localization
GO:0043933	P	0.11	macromolecular complex subunit organization
GO:0010605	P	0.11	negative regulation of macromolecule metabolic process
GO:0010468	P	0.11	regulation of gene expression
GO:0006950	P	0.11	response to stress
GO:0006807	P	0.11	nitrogen compound metabolic process
