GO:0044699	P	0.98	single-organism process
GO:0044767	P	0.88	single-organism developmental process
GO:0009987	P	0.76	cellular process
GO:0065007	P	0.73	biological regulation
GO:0050789	P	0.73	regulation of biological process
GO:0071704	P	0.67	organic substance metabolic process
GO:0051704	P	0.63	multi-organism process
GO:0044260	P	0.63	cellular macromolecule metabolic process
GO:0009405	P	0.58	pathogenesis
GO:0009653	P	0.57	anatomical structure morphogenesis
GO:0051239	P	0.56	regulation of multicellular organismal process
GO:0048518	P	0.56	positive regulation of biological process
GO:2000026	P	0.55	regulation of multicellular organismal development
GO:0051240	P	0.52	positive regulation of multicellular organismal process
GO:0009887	P	0.52	organ morphogenesis
GO:0051094	P	0.51	positive regulation of developmental process
GO:0048856	P	0.51	anatomical structure development
GO:0061036	P	0.45	positive regulation of cartilage development
GO:0060350	P	0.45	endochondral bone morphogenesis
GO:0030166	P	0.45	proteoglycan biosynthetic process
GO:0044707	P	0.44	single-multicellular organism process
GO:0044238	P	0.38	primary metabolic process
GO:0050794	P	0.35	regulation of cellular process
GO:0007275	P	0.35	multicellular organism development
GO:0044763	P	0.32	single-organism cellular process
GO:0050896	P	0.30	response to stimulus
GO:0043412	P	0.28	macromolecule modification
GO:2000112	P	0.27	regulation of cellular macromolecule biosynthetic process
GO:0080090	P	0.27	regulation of primary metabolic process
GO:0051171	P	0.27	regulation of nitrogen compound metabolic process
GO:0010468	P	0.27	regulation of gene expression
GO:0006950	P	0.25	response to stress
GO:0048869	P	0.24	cellular developmental process
GO:0048519	P	0.21	negative regulation of biological process
GO:0006464	P	0.21	cellular protein modification process
GO:0006355	P	0.20	regulation of transcription, DNA-templated
GO:0007165	P	0.18	signal transduction
GO:0006357	P	0.18	regulation of transcription from RNA polymerase II promoter
GO:0007178	P	0.16	transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0051128	P	0.14	regulation of cellular component organization
GO:0048522	P	0.14	positive regulation of cellular process
GO:0045595	P	0.13	regulation of cell differentiation
GO:0048731	P	0.12	system development
GO:0048646	P	0.12	anatomical structure formation involved in morphogenesis
GO:0044710	P	0.12	single-organism metabolic process
GO:0032268	P	0.12	regulation of cellular protein metabolic process
GO:0030509	P	0.12	BMP signaling pathway
GO:0009611	P	0.12	response to wounding
GO:0009605	P	0.12	response to external stimulus
GO:1902225	P	0.11	negative regulation of acrosome reaction
GO:0048468	P	0.11	cell development
GO:0042742	P	0.11	defense response to bacterium
GO:0022603	P	0.11	regulation of anatomical structure morphogenesis
GO:0016070	P	0.11	RNA metabolic process
GO:0016043	P	0.11	cellular component organization
GO:0016042	P	0.11	lipid catabolic process
GO:0007389	P	0.11	pattern specification process
GO:0007179	P	0.11	transforming growth factor beta receptor signaling pathway
