GO:0044464	C	0.89	cell part
GO:0005576	C	0.82	extracellular region
GO:0044424	C	0.71	intracellular part
GO:0043226	C	0.69	organelle
GO:0043227	C	0.65	membrane-bounded organelle
GO:0043229	C	0.62	intracellular organelle
GO:0016020	C	0.61	membrane
GO:0044444	C	0.60	cytoplasmic part
GO:0043231	C	0.56	intracellular membrane-bounded organelle
GO:0031988	C	0.49	membrane-bounded vesicle
GO:0044218	C	0.46	other organism cell membrane
GO:0005886	C	0.45	plasma membrane
GO:0044425	C	0.40	membrane part
GO:0044421	C	0.40	extracellular region part
GO:0001669	C	0.37	acrosomal vesicle
GO:0035792	C	0.36	other organism postsynaptic membrane
GO:0044459	C	0.32	plasma membrane part
GO:0031224	C	0.32	intrinsic component of membrane
GO:0005615	C	0.29	extracellular space
GO:0016021	C	0.26	integral component of membrane
GO:0042995	C	0.25	cell projection
GO:0098590	C	0.23	plasma membrane region
GO:0032991	C	0.22	macromolecular complex
GO:0009986	C	0.22	cell surface
GO:0045121	C	0.19	membrane raft
GO:0043234	C	0.16	protein complex
GO:0031226	C	0.16	intrinsic component of plasma membrane
GO:0070062	C	0.15	extracellular exosome
GO:0005901	C	0.15	caveola
GO:0005829	C	0.15	cytosol
GO:0098796	C	0.14	membrane protein complex
GO:0097458	C	0.14	neuron part
GO:0005887	C	0.14	integral component of plasma membrane
GO:0005768	C	0.14	endosome
GO:0030054	C	0.13	cell junction
GO:0009897	C	0.13	external side of plasma membrane
GO:0044446	C	0.12	intracellular organelle part
GO:0043235	C	0.12	receptor complex
GO:0031225	C	0.12	anchored component of membrane
GO:0030425	C	0.12	dendrite
GO:0035230	C	0.11	cytoneme
GO:0005771	C	0.11	multivesicular body
GO:0005769	C	0.11	early endosome
GO:0005634	C	0.11	nucleus
GO:0005623	C	0.11	cell
