GO:0044424	C	1.00	intracellular part
GO:0043229	C	0.99	intracellular organelle
GO:0043227	C	0.99	membrane-bounded organelle
GO:0005634	C	0.98	nucleus
GO:0044444	C	0.74	cytoplasmic part
GO:0032991	C	0.65	macromolecular complex
GO:0005737	C	0.63	cytoplasm
GO:0043232	C	0.59	intracellular non-membrane-bounded organelle
GO:0044446	C	0.49	intracellular organelle part
GO:0030529	C	0.45	intracellular ribonucleoprotein complex
GO:0000932	C	0.44	cytoplasmic mRNA processing body
GO:0043234	C	0.38	protein complex
GO:0005622	C	0.35	intracellular
GO:0031982	C	0.31	vesicle
GO:0016020	C	0.31	membrane
GO:0044428	C	0.25	nuclear part
GO:0005829	C	0.25	cytosol
GO:1902494	C	0.24	catalytic complex
GO:0005576	C	0.24	extracellular region
GO:0005886	C	0.20	plasma membrane
GO:1990234	C	0.19	transferase complex
GO:0031410	C	0.19	cytoplasmic vesicle
GO:0000151	C	0.18	ubiquitin ligase complex
GO:0044425	C	0.17	membrane part
GO:0044430	C	0.16	cytoskeletal part
GO:0005773	C	0.16	vacuole
GO:1990462	C	0.14	omegasome
GO:0033643	C	0.14	host cell part
GO:0005776	C	0.14	autophagosome
GO:0044433	C	0.13	cytoplasmic vesicle part
GO:0044421	C	0.12	extracellular region part
GO:0019005	C	0.12	SCF ubiquitin ligase complex
GO:0031988	C	0.11	membrane-bounded vesicle
GO:0031090	C	0.11	organelle membrane
GO:0016021	C	0.11	integral component of membrane
GO:0005654	C	0.11	nucleoplasm
