GO:0044464	C	1.00	cell part
GO:0044424	C	0.84	intracellular part
GO:0032991	C	0.69	macromolecular complex
GO:0005737	C	0.47	cytoplasm
GO:0043234	C	0.39	protein complex
GO:0044446	C	0.38	intracellular organelle part
GO:0043226	C	0.37	organelle
GO:0044444	C	0.36	cytoplasmic part
GO:0008290	C	0.36	F-actin capping protein complex
GO:0043229	C	0.34	intracellular organelle
GO:0044463	C	0.33	cell projection part
GO:0043005	C	0.33	neuron projection
GO:0044456	C	0.32	synapse part
GO:0071546	C	0.31	pi-body
GO:0043197	C	0.31	dendritic spine
GO:0044421	C	0.28	extracellular region part
GO:0005615	C	0.23	extracellular space
GO:0044425	C	0.22	membrane part
GO:0031012	C	0.22	extracellular matrix
GO:0031224	C	0.20	intrinsic component of membrane
GO:0005578	C	0.20	proteinaceous extracellular matrix
GO:0044459	C	0.19	plasma membrane part
GO:0016021	C	0.19	integral component of membrane
GO:0031226	C	0.18	intrinsic component of plasma membrane
GO:0005887	C	0.17	integral component of plasma membrane
GO:0016020	C	0.12	membrane
