GO:0044699	P	0.87	single-organism process
GO:0009987	P	0.87	cellular process
GO:0065007	P	0.75	biological regulation
GO:0050789	P	0.75	regulation of biological process
GO:0044763	P	0.72	single-organism cellular process
GO:0050794	P	0.69	regulation of cellular process
GO:0050896	P	0.50	response to stimulus
GO:0051716	P	0.46	cellular response to stimulus
GO:0044700	P	0.42	single organism signaling
GO:0007154	P	0.42	cell communication
GO:0016043	P	0.34	cellular component organization
GO:0008152	P	0.34	metabolic process
GO:0044238	P	0.32	primary metabolic process
GO:0044237	P	0.32	cellular metabolic process
GO:0043170	P	0.32	macromolecule metabolic process
GO:0044260	P	0.31	cellular macromolecule metabolic process
GO:0040011	P	0.29	locomotion
GO:0006928	P	0.28	movement of cell or subcellular component
GO:0042221	P	0.27	response to chemical
GO:0007017	P	0.27	microtubule-based process
GO:0048519	P	0.26	negative regulation of biological process
GO:0042330	P	0.26	taxis
GO:0051179	P	0.25	localization
GO:0051234	P	0.24	establishment of localization
GO:0022610	P	0.24	biological adhesion
GO:0019222	P	0.23	regulation of metabolic process
GO:0016337	P	0.23	single organismal cell-cell adhesion
GO:0007018	P	0.23	microtubule-based movement
GO:0060255	P	0.22	regulation of macromolecule metabolic process
GO:0032502	P	0.22	developmental process
GO:0044767	P	0.21	single-organism developmental process
GO:0006810	P	0.21	transport
GO:0048583	P	0.20	regulation of response to stimulus
GO:0034641	P	0.20	cellular nitrogen compound metabolic process
GO:0023051	P	0.20	regulation of signaling
GO:0010646	P	0.20	regulation of cell communication
GO:0009966	P	0.19	regulation of signal transduction
GO:0048523	P	0.18	negative regulation of cellular process
GO:0090304	P	0.17	nucleic acid metabolic process
GO:0031323	P	0.17	regulation of cellular metabolic process
GO:0010468	P	0.17	regulation of gene expression
GO:0080090	P	0.16	regulation of primary metabolic process
GO:0048856	P	0.16	anatomical structure development
GO:0019538	P	0.16	protein metabolic process
GO:0006996	P	0.16	organelle organization
GO:0051649	P	0.15	establishment of localization in cell
GO:0048518	P	0.15	positive regulation of biological process
GO:0044267	P	0.15	cellular protein metabolic process
GO:0051641	P	0.14	cellular localization
GO:0048585	P	0.14	negative regulation of response to stimulus
GO:0044271	P	0.14	cellular nitrogen compound biosynthetic process
GO:0023057	P	0.14	negative regulation of signaling
GO:0016070	P	0.14	RNA metabolic process
GO:0010648	P	0.14	negative regulation of cell communication
GO:0009059	P	0.14	macromolecule biosynthetic process
GO:0007165	P	0.14	signal transduction
GO:1902578	P	0.13	single-organism localization
GO:0034645	P	0.13	cellular macromolecule biosynthetic process
GO:0032501	P	0.13	multicellular organismal process
GO:0009968	P	0.13	negative regulation of signal transduction
GO:0006950	P	0.13	response to stress
GO:2000112	P	0.12	regulation of cellular macromolecule biosynthetic process
GO:0051239	P	0.12	regulation of multicellular organismal process
GO:0048522	P	0.12	positive regulation of cellular process
GO:0044765	P	0.12	single-organism transport
GO:0022607	P	0.12	cellular component assembly
GO:0019219	P	0.12	regulation of nucleobase-containing compound metabolic process
GO:0006464	P	0.12	cellular protein modification process
GO:1902531	P	0.11	regulation of intracellular signal transduction
GO:0051128	P	0.11	regulation of cellular component organization
GO:0046907	P	0.11	intracellular transport
GO:0044707	P	0.11	single-multicellular organism process
GO:0006355	P	0.11	regulation of transcription, DNA-templated
