GO:0016926	P	1.00	protein desumoylation
GO:0034641	P	0.38	cellular nitrogen compound metabolic process
GO:0006139	P	0.36	nucleobase-containing compound metabolic process
GO:0016070	P	0.35	RNA metabolic process
GO:1901576	P	0.22	organic substance biosynthetic process
GO:0050794	P	0.21	regulation of cellular process
GO:0044699	P	0.21	single-organism process
GO:0044271	P	0.21	cellular nitrogen compound biosynthetic process
GO:0034654	P	0.20	nucleobase-containing compound biosynthetic process
GO:0034645	P	0.20	cellular macromolecule biosynthetic process
GO:0006351	P	0.19	transcription, DNA-templated
GO:0006396	P	0.16	RNA processing
GO:0032502	P	0.13	developmental process
