GO:0044444	C	1.00	cytoplasmic part
GO:0043229	C	0.94	intracellular organelle
GO:0043231	C	0.88	intracellular membrane-bounded organelle
GO:0005634	C	0.82	nucleus
GO:0032991	C	0.76	macromolecular complex
GO:0043234	C	0.71	protein complex
GO:0005829	C	0.63	cytosol
GO:0044446	C	0.49	intracellular organelle part
GO:0044428	C	0.45	nuclear part
GO:0043232	C	0.35	intracellular non-membrane-bounded organelle
GO:0016020	C	0.31	membrane
GO:0044451	C	0.30	nucleoplasm part
GO:0034081	C	0.29	polyketide synthase complex
GO:0005886	C	0.29	plasma membrane
GO:0005835	C	0.29	fatty acid synthase complex
GO:0005811	C	0.29	lipid particle
GO:0005739	C	0.29	mitochondrion
GO:0005618	C	0.29	cell wall
GO:0016604	C	0.23	nuclear body
GO:0030529	C	0.12	intracellular ribonucleoprotein complex
