GO:0003700	F	0.83	transcription factor activity, sequence-specific DNA binding
GO:1901363	F	0.65	heterocyclic compound binding
GO:0097159	F	0.65	organic cyclic compound binding
GO:0003676	F	0.60	nucleic acid binding
GO:0003824	F	0.42	catalytic activity
GO:0000981	F	0.39	RNA polymerase II transcription factor activity, sequence-specific DNA binding
GO:0036094	F	0.37	small molecule binding
GO:0003677	F	0.37	DNA binding
GO:0033218	F	0.33	amide binding
GO:0072341	F	0.32	modified amino acid binding
GO:0019842	F	0.32	vitamin binding
GO:0003723	F	0.31	RNA binding
GO:0043565	F	0.25	sequence-specific DNA binding
GO:0044212	F	0.23	transcription regulatory region DNA binding
GO:0000976	F	0.20	transcription regulatory region sequence-specific DNA binding
GO:0000977	F	0.19	RNA polymerase II regulatory region sequence-specific DNA binding
GO:0046872	F	0.18	metal ion binding
GO:0008270	F	0.16	zinc ion binding
GO:0003729	F	0.16	mRNA binding
