GO:0009987	P	0.97	cellular process
GO:0071704	P	0.84	organic substance metabolic process
GO:0044238	P	0.83	primary metabolic process
GO:0044237	P	0.83	cellular metabolic process
GO:0044260	P	0.82	cellular macromolecule metabolic process
GO:0043412	P	0.77	macromolecule modification
GO:0019538	P	0.77	protein metabolic process
GO:0032446	P	0.76	protein modification by small protein conjugation
GO:0016567	P	0.63	protein ubiquitination
GO:0044699	P	0.54	single-organism process
GO:0065007	P	0.53	biological regulation
GO:0050789	P	0.51	regulation of biological process
GO:0042787	P	0.51	protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0050794	P	0.48	regulation of cellular process
GO:0044763	P	0.38	single-organism cellular process
GO:0032502	P	0.34	developmental process
GO:0044767	P	0.31	single-organism developmental process
GO:0048856	P	0.28	anatomical structure development
GO:0019222	P	0.24	regulation of metabolic process
GO:0060255	P	0.23	regulation of macromolecule metabolic process
GO:0051179	P	0.23	localization
GO:0031323	P	0.23	regulation of cellular metabolic process
GO:0006807	P	0.23	nitrogen compound metabolic process
GO:0080090	P	0.22	regulation of primary metabolic process
GO:0034641	P	0.22	cellular nitrogen compound metabolic process
GO:0016043	P	0.22	cellular component organization
GO:1901576	P	0.21	organic substance biosynthetic process
GO:0044249	P	0.21	cellular biosynthetic process
GO:0006139	P	0.21	nucleobase-containing compound metabolic process
GO:0016070	P	0.20	RNA metabolic process
GO:0048519	P	0.19	negative regulation of biological process
GO:0044271	P	0.19	cellular nitrogen compound biosynthetic process
GO:0034645	P	0.19	cellular macromolecule biosynthetic process
GO:0006351	P	0.18	transcription, DNA-templated
GO:0048523	P	0.17	negative regulation of cellular process
GO:0006996	P	0.16	organelle organization
GO:2000112	P	0.15	regulation of cellular macromolecule biosynthetic process
GO:0051171	P	0.15	regulation of nitrogen compound metabolic process
GO:0048869	P	0.15	cellular developmental process
GO:0010468	P	0.15	regulation of gene expression
GO:0006810	P	0.15	transport
GO:1901575	P	0.13	organic substance catabolic process
GO:0050896	P	0.13	response to stimulus
GO:0006355	P	0.13	regulation of transcription, DNA-templated
GO:0048513	P	0.12	animal organ development
GO:0048468	P	0.12	cell development
GO:0009057	P	0.12	macromolecule catabolic process
GO:0051641	P	0.11	cellular localization
GO:0044265	P	0.11	cellular macromolecule catabolic process
GO:0032501	P	0.11	multicellular organismal process
GO:0010498	P	0.11	proteasomal protein catabolic process
GO:0007165	P	0.11	signal transduction
