GO:0044464	C	0.96	cell part
GO:0044424	C	0.90	intracellular part
GO:0016020	C	0.86	membrane
GO:0043229	C	0.64	intracellular organelle
GO:0005737	C	0.63	cytoplasm
GO:0043227	C	0.62	membrane-bounded organelle
GO:0043231	C	0.61	intracellular membrane-bounded organelle
GO:0032991	C	0.61	macromolecular complex
GO:0043234	C	0.59	protein complex
GO:0044425	C	0.51	membrane part
GO:0005634	C	0.51	nucleus
GO:0044444	C	0.47	cytoplasmic part
GO:0044422	C	0.47	organelle part
GO:0044446	C	0.45	intracellular organelle part
GO:0005829	C	0.36	cytosol
GO:0033186	C	0.35	CAF-1 complex
GO:0016021	C	0.31	integral component of membrane
GO:0044218	C	0.29	other organism cell membrane
GO:0044428	C	0.20	nuclear part
GO:0044432	C	0.19	endoplasmic reticulum part
GO:0005789	C	0.18	endoplasmic reticulum membrane
GO:0005576	C	0.18	extracellular region
GO:0005654	C	0.17	nucleoplasm
GO:0098796	C	0.16	membrane protein complex
GO:0048471	C	0.16	perinuclear region of cytoplasm
GO:0031090	C	0.16	organelle membrane
GO:0055036	C	0.15	virion membrane
GO:0033644	C	0.15	host cell membrane
GO:0030127	C	0.15	COPII vesicle coat
GO:0019031	C	0.15	viral envelope
GO:0019028	C	0.15	viral capsid
GO:0019012	C	0.15	virion
GO:0012507	C	0.15	ER to Golgi transport vesicle membrane
GO:0005794	C	0.15	Golgi apparatus
GO:0005783	C	0.15	endoplasmic reticulum
GO:0005622	C	0.15	intracellular
GO:0000788	C	0.15	nuclear nucleosome
GO:0000139	C	0.15	Golgi membrane
GO:0005886	C	0.12	plasma membrane
