GO:0043167	F	0.47	ion binding
GO:0046872	F	0.45	metal ion binding
GO:0004872	F	0.45	receptor activity
GO:0042277	F	0.44	peptide binding
GO:0004888	F	0.42	transmembrane signaling receptor activity
GO:0004930	F	0.38	G-protein coupled receptor activity
GO:0005509	F	0.37	calcium ion binding
GO:0008092	F	0.36	cytoskeletal protein binding
GO:0005102	F	0.33	receptor binding
GO:0001664	F	0.32	G-protein coupled receptor binding
GO:0019899	F	0.29	enzyme binding
GO:0001968	F	0.29	fibronectin binding
GO:0032027	F	0.28	myosin light chain binding
GO:0030246	F	0.28	carbohydrate binding
GO:0005109	F	0.28	frizzled binding
GO:0019901	F	0.27	protein kinase binding
GO:0030971	F	0.26	receptor tyrosine kinase binding
GO:1901363	F	0.24	heterocyclic compound binding
GO:0097159	F	0.24	organic cyclic compound binding
GO:0003824	F	0.22	catalytic activity
GO:0042802	F	0.18	identical protein binding
GO:0097367	F	0.16	carbohydrate derivative binding
GO:0050839	F	0.15	cell adhesion molecule binding
GO:0036094	F	0.14	small molecule binding
GO:0035639	F	0.13	purine ribonucleoside triphosphate binding
GO:0032555	F	0.13	purine ribonucleotide binding
GO:0032550	F	0.13	purine ribonucleoside binding
GO:0016524	F	0.12	latrotoxin receptor activity
GO:0003676	F	0.12	nucleic acid binding
GO:0098772	F	0.11	molecular function regulator
GO:0046983	F	0.11	protein dimerization activity
GO:0016787	F	0.11	hydrolase activity
