GO:0005615	C	1.00	extracellular space
GO:0044464	C	0.59	cell part
GO:0044424	C	0.49	intracellular part
GO:0043226	C	0.31	organelle
GO:0043229	C	0.28	intracellular organelle
GO:0044444	C	0.25	cytoplasmic part
GO:0043227	C	0.24	membrane-bounded organelle
GO:0005576	C	0.22	extracellular region
GO:0043231	C	0.21	intracellular membrane-bounded organelle
GO:0016020	C	0.19	membrane
GO:0044446	C	0.17	intracellular organelle part
GO:0005634	C	0.15	nucleus
GO:0044425	C	0.13	membrane part
GO:0032991	C	0.13	macromolecular complex
