GO:0044464	C	1.00	cell part
GO:0044424	C	0.96	intracellular part
GO:0043226	C	0.82	organelle
GO:0044444	C	0.81	cytoplasmic part
GO:0043229	C	0.77	intracellular organelle
GO:0043227	C	0.77	membrane-bounded organelle
GO:0043231	C	0.75	intracellular membrane-bounded organelle
GO:0016020	C	0.72	membrane
GO:0032991	C	0.70	protein-containing complex
GO:0044446	C	0.69	intracellular organelle part
GO:0005829	C	0.53	cytosol
GO:0005886	C	0.50	plasma membrane
GO:0005737	C	0.50	cytoplasm
GO:0005634	C	0.47	nucleus
GO:0044428	C	0.40	nuclear part
GO:0044425	C	0.39	membrane part
GO:1902494	C	0.32	catalytic complex
GO:1990234	C	0.30	transferase complex
GO:0005654	C	0.29	nucleoplasm
GO:0005739	C	0.24	mitochondrion
GO:0044421	C	0.23	extracellular region part
GO:0042995	C	0.23	cell projection
GO:0031224	C	0.23	intrinsic component of membrane
GO:0031982	C	0.22	vesicle
GO:0016021	C	0.21	integral component of membrane
GO:0031461	C	0.20	cullin-RING ubiquitin ligase complex
GO:0098588	C	0.19	bounding membrane of organelle
GO:0044459	C	0.18	plasma membrane part
GO:0044427	C	0.18	chromosomal part
GO:0098805	C	0.17	whole membrane
GO:0098796	C	0.17	membrane protein complex
GO:0044430	C	0.17	cytoskeletal part
GO:0043232	C	0.17	intracellular non-membrane-bounded organelle
GO:0097458	C	0.16	neuron part
GO:0000785	C	0.16	chromatin
GO:0005680	C	0.15	anaphase-promoting complex
GO:0044451	C	0.14	nucleoplasm part
GO:0031410	C	0.13	cytoplasmic vesicle
GO:0043025	C	0.12	neuronal cell body
GO:0043005	C	0.12	neuron projection
GO:0070062	C	0.11	extracellular exosome
GO:0044463	C	0.11	cell projection part
GO:0044455	C	0.11	mitochondrial membrane part
GO:0030141	C	0.11	secretory granule
