GO:0043229	C	1.00	intracellular organelle
GO:0005737	C	1.00	cytoplasm
GO:0044422	C	0.97	organelle part
GO:0044444	C	0.96	cytoplasmic part
GO:0043232	C	0.93	intracellular non-membrane-bounded organelle
GO:0044446	C	0.89	intracellular organelle part
GO:0044430	C	0.84	cytoskeletal part
GO:0043227	C	0.76	membrane-bounded organelle
GO:0032991	C	0.69	macromolecular complex
GO:0016020	C	0.69	membrane
GO:0043234	C	0.67	protein complex
GO:0043231	C	0.64	intracellular membrane-bounded organelle
GO:0005856	C	0.63	cytoskeleton
GO:0005886	C	0.57	plasma membrane
GO:0031988	C	0.56	membrane-bounded vesicle
GO:0044421	C	0.52	extracellular region part
GO:0070062	C	0.50	extracellular exosome
GO:0030054	C	0.47	cell junction
GO:0005829	C	0.47	cytosol
GO:0044449	C	0.45	contractile fiber part
GO:0016459	C	0.44	myosin complex
GO:0005912	C	0.43	adherens junction
GO:0005911	C	0.39	cell-cell junction
GO:0032982	C	0.38	myosin filament
GO:0043292	C	0.37	contractile fiber
GO:0005913	C	0.37	cell-cell adherens junction
GO:0005634	C	0.37	nucleus
GO:0099513	C	0.36	polymeric cytoskeletal fiber
GO:0044425	C	0.36	membrane part
GO:0042995	C	0.36	cell projection
GO:0042641	C	0.29	actomyosin
GO:0044459	C	0.28	plasma membrane part
GO:0005903	C	0.27	brush border
GO:0044463	C	0.26	cell projection part
GO:0005938	C	0.25	cell cortex
GO:0005884	C	0.25	actin filament
GO:0097458	C	0.24	neuron part
GO:0044448	C	0.24	cell cortex part
GO:0016460	C	0.24	myosin II complex
GO:0005925	C	0.24	focal adhesion
GO:0030016	C	0.23	myofibril
GO:0001725	C	0.23	stress fiber
GO:0031012	C	0.21	extracellular matrix
GO:0030018	C	0.21	Z disc
GO:0005875	C	0.21	microtubule associated complex
GO:0005773	C	0.21	vacuole
GO:0005871	C	0.20	kinesin complex
GO:0031252	C	0.19	cell leading edge
GO:0030017	C	0.19	sarcomere
GO:0042383	C	0.18	sarcolemma
GO:0044428	C	0.17	nuclear part
GO:0043005	C	0.16	neuron projection
GO:0016023	C	0.16	cytoplasmic, membrane-bounded vesicle
GO:0098590	C	0.15	plasma membrane region
GO:0045111	C	0.14	intermediate filament cytoskeleton
GO:0045335	C	0.13	phagocytic vesicle
GO:0043034	C	0.13	costamere
GO:0030863	C	0.13	cortical cytoskeleton
GO:0030056	C	0.13	hemidesmosome
GO:0016528	C	0.13	sarcoplasm
GO:0000331	C	0.13	contractile vacuole
GO:0098588	C	0.11	bounding membrane of organelle
GO:0044456	C	0.11	synapse part
GO:0044427	C	0.11	chromosomal part
GO:0032155	C	0.11	cell division site part
GO:0030426	C	0.11	growth cone
GO:0030424	C	0.11	axon
GO:0005859	C	0.11	muscle myosin complex
