GO:0065007	P	0.87	biological regulation
GO:0050789	P	0.85	regulation of biological process
GO:0044699	P	0.85	single-organism process
GO:0050794	P	0.81	regulation of cellular process
GO:0009987	P	0.77	cellular process
GO:0032502	P	0.72	developmental process
GO:0048518	P	0.71	positive regulation of biological process
GO:0044763	P	0.69	single-organism cellular process
GO:0048523	P	0.68	negative regulation of cellular process
GO:0044767	P	0.67	single-organism developmental process
GO:0008152	P	0.66	metabolic process
GO:0050896	P	0.65	response to stimulus
GO:0048856	P	0.65	anatomical structure development
GO:0048522	P	0.65	positive regulation of cellular process
GO:0019222	P	0.65	regulation of metabolic process
GO:0071704	P	0.64	organic substance metabolic process
GO:0080090	P	0.63	regulation of primary metabolic process
GO:0060255	P	0.63	regulation of macromolecule metabolic process
GO:0051239	P	0.63	regulation of multicellular organismal process
GO:0048583	P	0.63	regulation of response to stimulus
GO:0031323	P	0.62	regulation of cellular metabolic process
GO:0048584	P	0.60	positive regulation of response to stimulus
GO:0016043	P	0.60	cellular component organization
GO:0009893	P	0.60	positive regulation of metabolic process
GO:0051240	P	0.59	positive regulation of multicellular organismal process
GO:0043170	P	0.59	macromolecule metabolic process
GO:0043066	P	0.59	negative regulation of apoptotic process
GO:0031325	P	0.58	positive regulation of cellular metabolic process
GO:0010604	P	0.58	positive regulation of macromolecule metabolic process
GO:0007165	P	0.58	signal transduction
GO:0001932	P	0.58	regulation of protein phosphorylation
GO:0044238	P	0.57	primary metabolic process
GO:0032501	P	0.57	multicellular organismal process
GO:0023051	P	0.57	regulation of signaling
GO:0010646	P	0.57	regulation of cell communication
GO:0043408	P	0.56	regulation of MAPK cascade
GO:0001934	P	0.56	positive regulation of protein phosphorylation
GO:0023056	P	0.55	positive regulation of signaling
GO:0010647	P	0.55	positive regulation of cell communication
GO:2000352	P	0.54	negative regulation of endothelial cell apoptotic process
GO:0070374	P	0.54	positive regulation of ERK1 and ERK2 cascade
GO:0051241	P	0.53	negative regulation of multicellular organismal process
GO:0050790	P	0.53	regulation of catalytic activity
GO:0044707	P	0.53	single-multicellular organism process
GO:0032879	P	0.53	regulation of localization
GO:0048513	P	0.52	animal organ development
GO:0044237	P	0.52	cellular metabolic process
GO:0065008	P	0.51	regulation of biological quality
GO:0022603	P	0.51	regulation of anatomical structure morphogenesis
GO:0007166	P	0.51	cell surface receptor signaling pathway
GO:0007155	P	0.51	cell adhesion
GO:0006950	P	0.51	response to stress
GO:0006928	P	0.51	movement of cell or subcellular component
GO:0051128	P	0.50	regulation of cellular component organization
GO:0048731	P	0.50	system development
GO:0022607	P	0.50	cellular component assembly
GO:0002376	P	0.50	immune system process
GO:0080134	P	0.49	regulation of response to stress
GO:0051130	P	0.49	positive regulation of cellular component organization
GO:0051050	P	0.49	positive regulation of transport
GO:0050708	P	0.49	regulation of protein secretion
GO:0042221	P	0.49	response to chemical
GO:0016477	P	0.49	cell migration
GO:0071822	P	0.48	protein complex subunit organization
GO:0051338	P	0.48	regulation of transferase activity
GO:0051336	P	0.48	regulation of hydrolase activity
GO:0051094	P	0.48	positive regulation of developmental process
GO:0048585	P	0.48	negative regulation of response to stimulus
GO:0019538	P	0.48	protein metabolic process
GO:0006807	P	0.48	nitrogen compound metabolic process
GO:0003018	P	0.48	vascular process in circulatory system
GO:0001817	P	0.48	regulation of cytokine production
GO:0001568	P	0.48	blood vessel development
GO:0060627	P	0.47	regulation of vesicle-mediated transport
GO:0051179	P	0.47	localization
GO:0050673	P	0.47	epithelial cell proliferation
