GO:0003824	F	0.28	catalytic activity
GO:1901363	F	0.26	heterocyclic compound binding
GO:0097159	F	0.26	organic cyclic compound binding
GO:0046872	F	0.21	metal ion binding
GO:0003676	F	0.19	nucleic acid binding
GO:0003700	F	0.18	transcription factor activity, sequence-specific DNA binding
GO:0016787	F	0.17	hydrolase activity
GO:0019899	F	0.16	enzyme binding
GO:0005509	F	0.14	calcium ion binding
GO:0003723	F	0.14	RNA binding
GO:0042803	F	0.13	protein homodimerization activity
GO:0016740	F	0.12	transferase activity
