GO:0065007	P	0.77	biological regulation
GO:0050789	P	0.75	regulation of biological process
GO:0050794	P	0.74	regulation of cellular process
GO:0044699	P	0.72	single-organism process
GO:0009987	P	0.72	cellular process
GO:0080090	P	0.59	regulation of primary metabolic process
GO:0060255	P	0.59	regulation of macromolecule metabolic process
GO:0048518	P	0.59	positive regulation of biological process
GO:0031323	P	0.59	regulation of cellular metabolic process
GO:0048522	P	0.58	positive regulation of cellular process
GO:0031325	P	0.55	positive regulation of cellular metabolic process
GO:0010604	P	0.55	positive regulation of macromolecule metabolic process
GO:0051252	P	0.53	regulation of RNA metabolic process
GO:0010468	P	0.53	regulation of gene expression
GO:0045935	P	0.51	positive regulation of nucleobase-containing compound metabolic process
GO:0010628	P	0.51	positive regulation of gene expression
GO:0051254	P	0.50	positive regulation of RNA metabolic process
GO:0044763	P	0.50	single-organism cellular process
GO:0048026	P	0.47	positive regulation of mRNA splicing, via spliceosome
GO:0008152	P	0.45	metabolic process
GO:0044710	P	0.34	single-organism metabolic process
GO:0016043	P	0.34	cellular component organization
GO:0051179	P	0.24	localization
GO:0051234	P	0.22	establishment of localization
GO:0007017	P	0.21	microtubule-based process
GO:0006996	P	0.20	organelle organization
GO:0006810	P	0.20	transport
GO:0006928	P	0.19	movement of cell or subcellular component
GO:0071704	P	0.18	organic substance metabolic process
GO:0044238	P	0.18	primary metabolic process
GO:0044237	P	0.17	cellular metabolic process
GO:0032502	P	0.17	developmental process
GO:0051641	P	0.16	cellular localization
GO:0044767	P	0.16	single-organism developmental process
GO:0051649	P	0.15	establishment of localization in cell
GO:0043170	P	0.15	macromolecule metabolic process
GO:0022402	P	0.14	cell cycle process
GO:0008104	P	0.14	protein localization
GO:0007018	P	0.14	microtubule-based movement
GO:1902589	P	0.13	single-organism organelle organization
GO:0044260	P	0.13	cellular macromolecule metabolic process
GO:0007165	P	0.13	signal transduction
GO:0006139	P	0.13	nucleobase-containing compound metabolic process
GO:0048519	P	0.12	negative regulation of biological process
GO:0046907	P	0.12	intracellular transport
GO:0022607	P	0.12	cellular component assembly
GO:0071702	P	0.11	organic substance transport
GO:0048856	P	0.11	anatomical structure development
GO:0045184	P	0.11	establishment of protein localization
