GO:0009987	P	0.93	cellular process
GO:0071554	P	0.88	cell wall organization or biogenesis
GO:1901576	P	0.34	organic substance biosynthetic process
GO:0044763	P	0.34	single-organism cellular process
GO:0044711	P	0.34	single-organism biosynthetic process
GO:0044249	P	0.34	cellular biosynthetic process
GO:0044238	P	0.34	primary metabolic process
GO:0043650	P	0.33	dicarboxylic acid biosynthetic process
GO:0009084	P	0.33	glutamine family amino acid biosynthetic process
GO:0006536	P	0.33	glutamate metabolic process
GO:0006520	P	0.33	cellular amino acid metabolic process
