GO:0009987	P	0.73	cellular process
GO:0008152	P	0.66	metabolic process
GO:0071704	P	0.64	organic substance metabolic process
GO:0044238	P	0.63	primary metabolic process
GO:0044237	P	0.63	cellular metabolic process
GO:1901360	P	0.61	organic cyclic compound metabolic process
GO:0043170	P	0.61	macromolecule metabolic process
GO:0034641	P	0.61	cellular nitrogen compound metabolic process
GO:1901576	P	0.60	organic substance biosynthetic process
GO:0044271	P	0.60	cellular nitrogen compound biosynthetic process
GO:0044260	P	0.60	cellular macromolecule metabolic process
GO:0006139	P	0.60	nucleobase-containing compound metabolic process
GO:0097659	P	0.59	nucleic acid-templated transcription
GO:0034645	P	0.59	cellular macromolecule biosynthetic process
GO:0010467	P	0.56	gene expression
GO:0044699	P	0.41	single-organism process
GO:0065007	P	0.34	biological regulation
GO:0050794	P	0.33	regulation of cellular process
GO:0044763	P	0.25	single-organism cellular process
GO:0007165	P	0.20	signal transduction
GO:0032502	P	0.16	developmental process
GO:0044710	P	0.11	single-organism metabolic process
GO:0035556	P	0.11	intracellular signal transduction
