GO:0019243	P	1.00	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0043170	P	0.35	macromolecule metabolic process
GO:0044260	P	0.31	cellular macromolecule metabolic process
GO:0044238	P	0.31	primary metabolic process
GO:0034641	P	0.31	cellular nitrogen compound metabolic process
GO:0065007	P	0.30	biological regulation
GO:0016070	P	0.27	RNA metabolic process
GO:0050794	P	0.25	regulation of cellular process
GO:0007165	P	0.22	signal transduction
GO:0006396	P	0.21	RNA processing
GO:0007167	P	0.13	enzyme linked receptor protein signaling pathway
GO:0048583	P	0.12	regulation of response to stimulus
GO:0009607	P	0.12	response to biotic stimulus
GO:0006397	P	0.11	mRNA processing
