GO:0044424	C	1.00	intracellular part
GO:0043226	C	0.87	organelle
GO:0005737	C	0.86	cytoplasm
GO:0043229	C	0.85	intracellular organelle
GO:0043227	C	0.84	membrane-bounded organelle
GO:0043231	C	0.83	intracellular membrane-bounded organelle
GO:0044444	C	0.64	cytoplasmic part
GO:0044422	C	0.60	organelle part
GO:0044446	C	0.59	intracellular organelle part
GO:0005634	C	0.57	nucleus
GO:0043234	C	0.34	protein complex
GO:0016020	C	0.32	membrane
GO:0044430	C	0.30	cytoskeletal part
GO:0031988	C	0.29	membrane-bounded vesicle
GO:0005829	C	0.29	cytosol
GO:0016023	C	0.24	cytoplasmic, membrane-bounded vesicle
GO:0016459	C	0.21	myosin complex
GO:0044463	C	0.20	cell projection part
GO:0044428	C	0.18	nuclear part
GO:0042995	C	0.17	cell projection
GO:0099513	C	0.15	polymeric cytoskeletal fiber
GO:0030141	C	0.15	secretory granule
GO:0097458	C	0.14	neuron part
GO:0044425	C	0.14	membrane part
GO:0032593	C	0.14	insulin-responsive compartment
GO:0030054	C	0.14	cell junction
GO:0005576	C	0.14	extracellular region
GO:0016021	C	0.12	integral component of membrane
GO:0009543	C	0.12	chloroplast thylakoid lumen
GO:0009534	C	0.12	chloroplast thylakoid
GO:0009507	C	0.12	chloroplast
GO:0070062	C	0.11	extracellular exosome
GO:0043232	C	0.11	intracellular non-membrane-bounded organelle
GO:0005929	C	0.11	cilium
