GO:0044424	C	1.00	intracellular part
GO:0043226	C	0.85	organelle
GO:0043231	C	0.84	intracellular membrane-bounded organelle
GO:0005634	C	0.82	nucleus
GO:0044444	C	0.48	cytoplasmic part
GO:0032991	C	0.33	macromolecular complex
GO:0043234	C	0.30	protein complex
GO:0044446	C	0.26	intracellular organelle part
GO:0044425	C	0.26	membrane part
GO:0016021	C	0.25	integral component of membrane
GO:0031201	C	0.24	SNARE complex
GO:0012505	C	0.23	endomembrane system
GO:0016020	C	0.19	membrane
GO:0044428	C	0.12	nuclear part
