GO:0044699	P	0.88	single-organism process
GO:0009987	P	0.86	cellular process
GO:0044763	P	0.74	single-organism cellular process
GO:0032502	P	0.64	developmental process
GO:0065007	P	0.63	biological regulation
GO:0044767	P	0.62	single-organism developmental process
GO:0050789	P	0.59	regulation of biological process
GO:0016043	P	0.56	cellular component organization
GO:0050794	P	0.54	regulation of cellular process
GO:0048869	P	0.51	cellular developmental process
GO:0048856	P	0.49	anatomical structure development
GO:0032501	P	0.48	multicellular organismal process
GO:0009653	P	0.47	anatomical structure morphogenesis
GO:0003008	P	0.40	system process
GO:0008152	P	0.38	metabolic process
GO:0032989	P	0.35	cellular component morphogenesis
GO:0071704	P	0.32	organic substance metabolic process
GO:0044237	P	0.32	cellular metabolic process
GO:0044238	P	0.31	primary metabolic process
GO:0043170	P	0.30	macromolecule metabolic process
GO:0007010	P	0.30	cytoskeleton organization
GO:0050896	P	0.29	response to stimulus
GO:0044260	P	0.29	cellular macromolecule metabolic process
GO:1902589	P	0.28	single-organism organelle organization
GO:0030029	P	0.28	actin filament-based process
GO:0031032	P	0.27	actomyosin structure organization
GO:0009888	P	0.27	tissue development
GO:0045214	P	0.26	sarcomere organization
GO:0051179	P	0.25	localization
GO:0051234	P	0.24	establishment of localization
GO:0000902	P	0.24	cell morphogenesis
GO:0048518	P	0.23	positive regulation of biological process
GO:0007519	P	0.23	skeletal muscle tissue development
GO:0007165	P	0.23	signal transduction
GO:0006928	P	0.23	movement of cell or subcellular component
GO:0006810	P	0.23	transport
GO:0003013	P	0.23	circulatory system process
GO:0060047	P	0.22	heart contraction
GO:0048738	P	0.22	cardiac muscle tissue development
GO:0044707	P	0.21	single-multicellular organism process
GO:0022607	P	0.21	cellular component assembly
GO:0031323	P	0.20	regulation of cellular metabolic process
GO:0051239	P	0.19	regulation of multicellular organismal process
GO:0006807	P	0.19	nitrogen compound metabolic process
GO:0050793	P	0.18	regulation of developmental process
GO:0048646	P	0.18	anatomical structure formation involved in morphogenesis
GO:0048522	P	0.18	positive regulation of cellular process
GO:0048519	P	0.18	negative regulation of biological process
GO:0048468	P	0.18	cell development
GO:0009628	P	0.18	response to abiotic stimulus
GO:2000026	P	0.17	regulation of multicellular organismal development
GO:0080090	P	0.17	regulation of primary metabolic process
GO:0060255	P	0.17	regulation of macromolecule metabolic process
GO:0051128	P	0.17	regulation of cellular component organization
GO:0007411	P	0.17	axon guidance
GO:1902578	P	0.16	single-organism localization
GO:0034641	P	0.16	cellular nitrogen compound metabolic process
GO:0007155	P	0.16	cell adhesion
GO:0006461	P	0.16	protein complex assembly
GO:1901360	P	0.15	organic cyclic compound metabolic process
GO:0048523	P	0.15	negative regulation of cellular process
GO:0045595	P	0.15	regulation of cell differentiation
GO:0044765	P	0.15	single-organism transport
GO:0042221	P	0.15	response to chemical
GO:0032879	P	0.15	regulation of localization
GO:0009058	P	0.15	biosynthetic process
GO:0006725	P	0.15	cellular aromatic compound metabolic process
GO:0071702	P	0.14	organic substance transport
GO:0030030	P	0.14	cell projection organization
GO:0019538	P	0.14	protein metabolic process
GO:0016070	P	0.14	RNA metabolic process
GO:0048583	P	0.13	regulation of response to stimulus
GO:0045664	P	0.13	regulation of neuron differentiation
GO:0044267	P	0.13	cellular protein metabolic process
GO:0044249	P	0.13	cellular biosynthetic process
GO:0043623	P	0.13	cellular protein complex assembly
GO:0023051	P	0.13	regulation of signaling
GO:0022603	P	0.13	regulation of anatomical structure morphogenesis
GO:0009059	P	0.13	macromolecule biosynthetic process
GO:0050877	P	0.12	neurological system process
GO:0048729	P	0.12	tissue morphogenesis
GO:0048513	P	0.12	animal organ development
GO:0010975	P	0.12	regulation of neuron projection development
GO:0007166	P	0.12	cell surface receptor signaling pathway
GO:0006936	P	0.12	muscle contraction
GO:0065009	P	0.11	regulation of molecular function
GO:0048812	P	0.11	neuron projection morphogenesis
GO:0010769	P	0.11	regulation of cell morphogenesis involved in differentiation
GO:0010646	P	0.11	regulation of cell communication
GO:0010033	P	0.11	response to organic substance
GO:0008038	P	0.11	neuron recognition
GO:0007611	P	0.11	learning or memory
GO:0006796	P	0.11	phosphate-containing compound metabolic process
GO:0006464	P	0.11	cellular protein modification process
