GO:0044464	C	0.95	cell part
GO:0044425	C	0.92	membrane part
GO:0016021	C	0.91	integral component of membrane
GO:0016020	C	0.88	membrane
GO:0005887	C	0.74	integral component of plasma membrane
GO:0044424	C	0.58	intracellular part
GO:0005886	C	0.45	plasma membrane
GO:0043226	C	0.38	organelle
GO:0044444	C	0.34	cytoplasmic part
GO:0043227	C	0.33	membrane-bounded organelle
GO:0043229	C	0.27	intracellular organelle
GO:0070469	C	0.26	respiratory chain
GO:0043231	C	0.23	intracellular membrane-bounded organelle
GO:0032991	C	0.23	macromolecular complex
GO:0044446	C	0.21	intracellular organelle part
GO:0005576	C	0.14	extracellular region
GO:0098588	C	0.13	bounding membrane of organelle
GO:0044421	C	0.12	extracellular region part
GO:0043234	C	0.12	protein complex
GO:0005774	C	0.12	vacuolar membrane
GO:0005634	C	0.11	nucleus
