GO:0044424	C	1.00	intracellular part
GO:0043226	C	0.97	organelle
GO:0043227	C	0.96	membrane-bounded organelle
GO:0044421	C	0.86	extracellular region part
GO:0031988	C	0.86	membrane-bounded vesicle
GO:0070062	C	0.85	extracellular exosome
GO:0005737	C	0.65	cytoplasm
GO:0044444	C	0.41	cytoplasmic part
GO:0043229	C	0.35	intracellular organelle
GO:0043231	C	0.33	intracellular membrane-bounded organelle
GO:0044446	C	0.26	intracellular organelle part
GO:0016020	C	0.23	membrane
GO:0032991	C	0.21	macromolecular complex
GO:0005829	C	0.18	cytosol
GO:0043234	C	0.17	protein complex
GO:0005634	C	0.17	nucleus
GO:0097458	C	0.15	neuron part
GO:0044428	C	0.13	nuclear part
GO:0043232	C	0.12	intracellular non-membrane-bounded organelle
GO:0005886	C	0.11	plasma membrane
