GO:0009987	P	0.93	cellular process
GO:0008152	P	0.75	metabolic process
GO:0071704	P	0.73	organic substance metabolic process
GO:0044238	P	0.73	primary metabolic process
GO:0044237	P	0.73	cellular metabolic process
GO:0044260	P	0.71	cellular macromolecule metabolic process
GO:0006807	P	0.71	nitrogen compound metabolic process
GO:0034641	P	0.70	cellular nitrogen compound metabolic process
GO:0006139	P	0.69	nucleobase-containing compound metabolic process
GO:0016070	P	0.67	RNA metabolic process
GO:0006396	P	0.60	RNA processing
GO:0065007	P	0.57	biological regulation
GO:0050789	P	0.57	regulation of biological process
GO:0044699	P	0.57	single-organism process
GO:0016071	P	0.57	mRNA metabolic process
GO:0006397	P	0.56	mRNA processing
GO:0050794	P	0.54	regulation of cellular process
GO:0044763	P	0.53	single-organism cellular process
GO:0008380	P	0.48	RNA splicing
GO:0000398	P	0.45	mRNA splicing, via spliceosome
GO:0007165	P	0.41	signal transduction
GO:0016043	P	0.39	cellular component organization
GO:0032502	P	0.38	developmental process
GO:0044767	P	0.37	single-organism developmental process
GO:0048869	P	0.30	cellular developmental process
GO:0030030	P	0.27	cell projection organization
GO:0009653	P	0.27	anatomical structure morphogenesis
GO:0048583	P	0.26	regulation of response to stimulus
GO:0019222	P	0.25	regulation of metabolic process
GO:0048858	P	0.24	cell projection morphogenesis
GO:0031323	P	0.24	regulation of cellular metabolic process
GO:0007166	P	0.24	cell surface receptor signaling pathway
GO:0080090	P	0.23	regulation of primary metabolic process
GO:0060255	P	0.23	regulation of macromolecule metabolic process
GO:0048523	P	0.21	negative regulation of cellular process
GO:0023051	P	0.21	regulation of signaling
GO:0010646	P	0.21	regulation of cell communication
GO:0009966	P	0.20	regulation of signal transduction
GO:0065009	P	0.19	regulation of molecular function
GO:0032268	P	0.19	regulation of cellular protein metabolic process
GO:0019220	P	0.19	regulation of phosphate metabolic process
GO:0007409	P	0.19	axonogenesis
GO:0050790	P	0.18	regulation of catalytic activity
GO:1902531	P	0.17	regulation of intracellular signal transduction
GO:0031324	P	0.17	negative regulation of cellular metabolic process
GO:0010605	P	0.17	negative regulation of macromolecule metabolic process
GO:0009968	P	0.17	negative regulation of signal transduction
GO:0001932	P	0.17	regulation of protein phosphorylation
GO:1902532	P	0.16	negative regulation of intracellular signal transduction
GO:0006469	P	0.16	negative regulation of protein kinase activity
GO:0048518	P	0.15	positive regulation of biological process
GO:0046426	P	0.15	negative regulation of JAK-STAT cascade
GO:0019221	P	0.15	cytokine-mediated signaling pathway
GO:1901576	P	0.13	organic substance biosynthetic process
GO:0044249	P	0.13	cellular biosynthetic process
GO:0051128	P	0.12	regulation of cellular component organization
GO:0050896	P	0.12	response to stimulus
GO:0050793	P	0.12	regulation of developmental process
GO:0044271	P	0.12	cellular nitrogen compound biosynthetic process
GO:0034645	P	0.12	cellular macromolecule biosynthetic process
GO:0051239	P	0.11	regulation of multicellular organismal process
GO:0051179	P	0.11	localization
GO:0035556	P	0.11	intracellular signal transduction
