GO:0044464	C	1.00	cell part
GO:0044424	C	0.99	intracellular part
GO:0044446	C	0.76	intracellular organelle part
GO:0005737	C	0.72	cytoplasm
GO:0043226	C	0.67	organelle
GO:0032991	C	0.65	macromolecular complex
GO:0016020	C	0.60	membrane
GO:0043227	C	0.59	membrane-bounded organelle
GO:0043229	C	0.57	intracellular organelle
GO:0044428	C	0.54	nuclear part
GO:0044444	C	0.53	cytoplasmic part
GO:0043231	C	0.52	intracellular membrane-bounded organelle
GO:0044425	C	0.50	membrane part
GO:0030529	C	0.50	intracellular ribonucleoprotein complex
GO:0031224	C	0.48	intrinsic component of membrane
GO:0016021	C	0.44	integral component of membrane
GO:0005886	C	0.42	plasma membrane
GO:0005634	C	0.38	nucleus
GO:0044459	C	0.36	plasma membrane part
GO:0044421	C	0.35	extracellular region part
GO:0005681	C	0.32	spliceosomal complex
GO:0031226	C	0.28	intrinsic component of plasma membrane
GO:0043234	C	0.27	protein complex
GO:0005887	C	0.24	integral component of plasma membrane
GO:0097525	C	0.23	spliceosomal snRNP complex
GO:0009986	C	0.23	cell surface
GO:0005615	C	0.22	extracellular space
GO:0044463	C	0.21	cell projection part
GO:0005686	C	0.21	U2 snRNP
GO:0042995	C	0.20	cell projection
GO:0044430	C	0.18	cytoskeletal part
GO:0031988	C	0.18	membrane-bounded vesicle
GO:0005783	C	0.18	endoplasmic reticulum
GO:0005578	C	0.18	proteinaceous extracellular matrix
GO:0048471	C	0.17	perinuclear region of cytoplasm
GO:0070062	C	0.16	extracellular exosome
GO:0044441	C	0.14	ciliary part
GO:0098805	C	0.13	whole membrane
GO:0098588	C	0.13	bounding membrane of organelle
GO:0044437	C	0.13	vacuolar part
GO:0097458	C	0.12	neuron part
GO:0030054	C	0.12	cell junction
GO:0005774	C	0.12	vacuolar membrane
GO:0098590	C	0.11	plasma membrane region
GO:0044456	C	0.11	synapse part
GO:0044432	C	0.11	endoplasmic reticulum part
GO:0043232	C	0.11	intracellular non-membrane-bounded organelle
GO:0043005	C	0.11	neuron projection
GO:0010008	C	0.11	endosome membrane
GO:0005576	C	0.11	extracellular region
