GO:0044699	P	0.93	single-organism process
GO:0009987	P	0.87	cellular process
GO:0044763	P	0.83	single-organism cellular process
GO:0065007	P	0.79	biological regulation
GO:0050789	P	0.75	regulation of biological process
GO:0032502	P	0.75	developmental process
GO:0044767	P	0.73	single-organism developmental process
GO:0050794	P	0.70	regulation of cellular process
GO:0048856	P	0.69	anatomical structure development
GO:0007155	P	0.66	cell adhesion
GO:0048869	P	0.61	cellular developmental process
GO:0006928	P	0.61	movement of cell or subcellular component
GO:0098609	P	0.60	cell-cell adhesion
GO:0016043	P	0.60	cellular component organization
GO:0051239	P	0.59	regulation of multicellular organismal process
GO:0050896	P	0.59	response to stimulus
GO:0048513	P	0.59	animal organ development
GO:0008152	P	0.59	metabolic process
GO:0071704	P	0.58	organic substance metabolic process
GO:0044238	P	0.58	primary metabolic process
GO:0050793	P	0.57	regulation of developmental process
GO:0009653	P	0.57	anatomical structure morphogenesis
GO:2000026	P	0.56	regulation of multicellular organismal development
GO:0048518	P	0.56	positive regulation of biological process
GO:0097485	P	0.55	neuron projection guidance
GO:0051128	P	0.55	regulation of cellular component organization
GO:0048583	P	0.55	regulation of response to stimulus
GO:0048519	P	0.55	negative regulation of biological process
GO:0045595	P	0.55	regulation of cell differentiation
GO:0044237	P	0.55	cellular metabolic process
GO:0098742	P	0.54	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0051179	P	0.54	localization
GO:0048522	P	0.54	positive regulation of cellular process
GO:0022603	P	0.54	regulation of anatomical structure morphogenesis
GO:0051234	P	0.53	establishment of localization
GO:0050767	P	0.53	regulation of neurogenesis
GO:0048468	P	0.53	cell development
GO:0032501	P	0.53	multicellular organismal process
GO:0048731	P	0.52	system development
GO:0042221	P	0.52	response to chemical
GO:0031344	P	0.52	regulation of cell projection organization
GO:0022604	P	0.52	regulation of cell morphogenesis
GO:0050790	P	0.51	regulation of catalytic activity
GO:0016477	P	0.51	cell migration
GO:0010033	P	0.51	response to organic substance
GO:0007165	P	0.51	signal transduction
GO:0006810	P	0.51	transport
GO:0002682	P	0.51	regulation of immune system process
GO:0002376	P	0.51	immune system process
GO:1902578	P	0.50	single-organism localization
GO:0048584	P	0.50	positive regulation of response to stimulus
GO:0048523	P	0.50	negative regulation of cellular process
GO:0043085	P	0.50	positive regulation of catalytic activity
GO:0016337	P	0.50	single organismal cell-cell adhesion
