GO:0044464	C	0.97	cell part
GO:0044424	C	0.61	intracellular part
GO:0016020	C	0.61	membrane
GO:0044425	C	0.47	membrane part
GO:0044459	C	0.46	plasma membrane part
GO:0005886	C	0.46	plasma membrane
GO:0043226	C	0.42	organelle
GO:0044444	C	0.38	cytoplasmic part
GO:0031224	C	0.38	intrinsic component of membrane
GO:0030054	C	0.38	cell junction
GO:0044422	C	0.36	organelle part
GO:0031226	C	0.35	intrinsic component of plasma membrane
GO:0016021	C	0.35	integral component of membrane
GO:0044446	C	0.33	intracellular organelle part
GO:0043227	C	0.33	membrane-bounded organelle
GO:0005911	C	0.33	cell-cell junction
GO:0005887	C	0.33	integral component of plasma membrane
GO:0043229	C	0.31	intracellular organelle
GO:0044421	C	0.30	extracellular region part
GO:0097458	C	0.22	neuron part
GO:0043231	C	0.22	intracellular membrane-bounded organelle
GO:0042995	C	0.21	cell projection
GO:0005912	C	0.21	adherens junction
GO:0009986	C	0.20	cell surface
GO:0043005	C	0.19	neuron projection
GO:0031982	C	0.19	vesicle
GO:0031988	C	0.18	membrane-bounded vesicle
GO:0044428	C	0.16	nuclear part
GO:0032991	C	0.16	macromolecular complex
GO:0005634	C	0.16	nucleus
GO:0044297	C	0.15	cell body
GO:0070062	C	0.14	extracellular exosome
GO:0043234	C	0.14	protein complex
GO:0030424	C	0.14	axon
GO:0005913	C	0.13	cell-cell adherens junction
GO:0043232	C	0.11	intracellular non-membrane-bounded organelle
GO:0043025	C	0.11	neuronal cell body
GO:0030425	C	0.11	dendrite
