GO:0044464	C	1.00	cell part
GO:0016021	C	1.00	integral component of membrane
GO:0016020	C	1.00	membrane
GO:0005887	C	0.92	integral component of plasma membrane
GO:0005886	C	0.87	plasma membrane
GO:0044424	C	0.83	intracellular part
GO:0044444	C	0.71	cytoplasmic part
GO:0043229	C	0.55	intracellular organelle
GO:0043227	C	0.54	membrane-bounded organelle
GO:0043231	C	0.53	intracellular membrane-bounded organelle
GO:0044446	C	0.46	intracellular organelle part
GO:0042995	C	0.44	cell projection
GO:0097458	C	0.43	neuron part
GO:0098588	C	0.37	bounding membrane of organelle
GO:0005737	C	0.36	cytoplasm
GO:0098805	C	0.32	whole membrane
GO:0043005	C	0.31	neuron projection
GO:0005774	C	0.30	vacuolar membrane
GO:0009705	C	0.29	plant-type vacuole membrane
GO:0044463	C	0.26	cell projection part
GO:0009986	C	0.26	cell surface
GO:0030425	C	0.24	dendrite
GO:0098590	C	0.22	plasma membrane region
GO:0044456	C	0.22	synapse part
GO:0005768	C	0.20	endosome
GO:0044297	C	0.19	cell body
GO:0030430	C	0.19	host cell cytoplasm
GO:0005794	C	0.19	Golgi apparatus
GO:0045121	C	0.15	membrane raft
GO:0043197	C	0.15	dendritic spine
GO:0030054	C	0.15	cell junction
GO:0032991	C	0.14	macromolecular complex
GO:0005634	C	0.14	nucleus
GO:0045202	C	0.12	synapse
GO:0043234	C	0.12	protein complex
GO:0043025	C	0.12	neuronal cell body
GO:0042597	C	0.12	periplasmic space
GO:0030424	C	0.12	axon
GO:0005769	C	0.12	early endosome
GO:0005739	C	0.12	mitochondrion
GO:0005829	C	0.11	cytosol
