GO:0046872	F	0.74	metal ion binding
GO:0003824	F	0.71	catalytic activity
GO:0016772	F	0.47	transferase activity, transferring phosphorus-containing groups
GO:0004674	F	0.46	protein serine/threonine kinase activity
GO:0016787	F	0.39	hydrolase activity
GO:0017111	F	0.34	nucleoside-triphosphatase activity
GO:0097159	F	0.33	organic cyclic compound binding
GO:0042623	F	0.33	ATPase activity, coupled
GO:1901363	F	0.32	heterocyclic compound binding
GO:0004176	F	0.32	ATP-dependent peptidase activity
GO:0036094	F	0.21	small molecule binding
GO:0000166	F	0.20	nucleotide binding
GO:0035639	F	0.18	purine ribonucleoside triphosphate binding
GO:0032555	F	0.18	purine ribonucleotide binding
GO:0032550	F	0.18	purine ribonucleoside binding
GO:0003676	F	0.11	nucleic acid binding
