GO:0044424	C	1.00	intracellular part
GO:0043231	C	0.97	intracellular membrane-bounded organelle
GO:0005634	C	0.94	nucleus
GO:0044444	C	0.58	cytoplasmic part
GO:0016020	C	0.48	membrane
GO:0005737	C	0.44	cytoplasm
GO:0032991	C	0.41	macromolecular complex
GO:0044422	C	0.39	organelle part
GO:0043234	C	0.39	protein complex
GO:0044446	C	0.36	intracellular organelle part
GO:0005739	C	0.30	mitochondrion
GO:0005886	C	0.28	plasma membrane
GO:0044428	C	0.27	nuclear part
GO:0043232	C	0.27	intracellular non-membrane-bounded organelle
GO:0005829	C	0.24	cytosol
GO:1902494	C	0.22	catalytic complex
GO:1990204	C	0.20	oxidoreductase complex
GO:0031224	C	0.20	intrinsic component of membrane
GO:0031988	C	0.16	membrane-bounded vesicle
GO:0005576	C	0.15	extracellular region
GO:0005730	C	0.14	nucleolus
GO:0070062	C	0.13	extracellular exosome
GO:0030054	C	0.12	cell junction
