GO:0044699	P	0.36	single-organism process
GO:0009987	P	0.35	cellular process
GO:0008152	P	0.35	metabolic process
GO:0071704	P	0.28	organic substance metabolic process
GO:0065007	P	0.27	biological regulation
GO:0050789	P	0.27	regulation of biological process
GO:0044238	P	0.24	primary metabolic process
GO:0050794	P	0.23	regulation of cellular process
GO:0044710	P	0.16	single-organism metabolic process
GO:0005975	P	0.16	carbohydrate metabolic process
GO:0044763	P	0.15	single-organism cellular process
GO:0044237	P	0.14	cellular metabolic process
GO:0032502	P	0.12	developmental process
GO:0042221	P	0.11	response to chemical
GO:0032501	P	0.11	multicellular organismal process
