GO:0051179	P	1.00	localization
GO:0044699	P	0.70	single-organism process
GO:0009987	P	0.70	cellular process
GO:0008152	P	0.68	metabolic process
GO:0006810	P	0.66	transport
GO:0071704	P	0.65	organic substance metabolic process
GO:0044238	P	0.63	primary metabolic process
GO:0044237	P	0.62	cellular metabolic process
GO:0055085	P	0.61	transmembrane transport
GO:0043170	P	0.57	macromolecule metabolic process
GO:0044260	P	0.56	cellular macromolecule metabolic process
GO:0016043	P	0.48	cellular component organization
GO:0044767	P	0.47	single-organism developmental process
GO:0022607	P	0.47	cellular component assembly
GO:0044267	P	0.45	cellular protein metabolic process
GO:0043412	P	0.44	macromolecule modification
GO:1902589	P	0.43	single-organism organelle organization
GO:0007010	P	0.43	cytoskeleton organization
GO:0006464	P	0.43	cellular protein modification process
GO:0030031	P	0.42	cell projection assembly
GO:0000226	P	0.42	microtubule cytoskeleton organization
GO:0051641	P	0.41	cellular localization
GO:0044702	P	0.40	single organism reproductive process
GO:0018193	P	0.40	peptidyl-amino acid modification
GO:0051648	P	0.39	vesicle localization
GO:0030534	P	0.39	adult behavior
GO:0018095	P	0.39	protein polyglutamylation
GO:0007288	P	0.39	sperm axoneme assembly
GO:0007268	P	0.39	chemical synaptic transmission
GO:0006807	P	0.32	nitrogen compound metabolic process
GO:0034641	P	0.31	cellular nitrogen compound metabolic process
GO:0006139	P	0.29	nucleobase-containing compound metabolic process
GO:0044710	P	0.27	single-organism metabolic process
GO:0065007	P	0.26	biological regulation
GO:0050789	P	0.26	regulation of biological process
GO:0050794	P	0.24	regulation of cellular process
GO:0044281	P	0.23	small molecule metabolic process
GO:1901576	P	0.22	organic substance biosynthetic process
GO:0044271	P	0.22	cellular nitrogen compound biosynthetic process
GO:0034654	P	0.20	nucleobase-containing compound biosynthetic process
GO:0090304	P	0.18	nucleic acid metabolic process
GO:0009059	P	0.18	macromolecule biosynthetic process
GO:0055086	P	0.16	nucleobase-containing small molecule metabolic process
GO:1901564	P	0.15	organonitrogen compound metabolic process
GO:1901135	P	0.14	carbohydrate derivative metabolic process
GO:0034645	P	0.14	cellular macromolecule biosynthetic process
GO:0016070	P	0.14	RNA metabolic process
GO:0007165	P	0.14	signal transduction
GO:1901566	P	0.13	organonitrogen compound biosynthetic process
GO:0071702	P	0.13	organic substance transport
GO:0072521	P	0.12	purine-containing compound metabolic process
GO:0006541	P	0.11	glutamine metabolic process
GO:0006189	P	0.11	'de novo' IMP biosynthetic process
