GO:0044464	C	0.99	cell part
GO:0044424	C	0.98	intracellular part
GO:0044444	C	0.68	cytoplasmic part
GO:0044422	C	0.68	organelle part
GO:0044446	C	0.67	intracellular organelle part
GO:0043226	C	0.67	organelle
GO:0043229	C	0.62	intracellular organelle
GO:0016020	C	0.50	membrane
GO:0043227	C	0.48	membrane-bounded organelle
GO:0043231	C	0.43	intracellular membrane-bounded organelle
GO:0005737	C	0.34	cytoplasm
GO:0044425	C	0.32	membrane part
GO:0005829	C	0.30	cytosol
GO:0005634	C	0.30	nucleus
GO:0044432	C	0.26	endoplasmic reticulum part
GO:0043232	C	0.26	intracellular non-membrane-bounded organelle
GO:0005789	C	0.25	endoplasmic reticulum membrane
GO:0044430	C	0.24	cytoskeletal part
GO:0032991	C	0.20	macromolecular complex
GO:0005813	C	0.20	centrosome
GO:0044428	C	0.18	nuclear part
GO:0043234	C	0.16	protein complex
GO:0031982	C	0.13	vesicle
GO:0044421	C	0.12	extracellular region part
GO:0031988	C	0.12	membrane-bounded vesicle
GO:0005654	C	0.12	nucleoplasm
