GO:0009987	P	0.97	cellular process
GO:0008152	P	0.84	metabolic process
GO:0071704	P	0.83	organic substance metabolic process
GO:0044260	P	0.82	cellular macromolecule metabolic process
GO:0044238	P	0.82	primary metabolic process
GO:0006464	P	0.77	cellular protein modification process
GO:0032446	P	0.76	protein modification by small protein conjugation
GO:0016567	P	0.59	protein ubiquitination
GO:0065007	P	0.53	biological regulation
GO:0050789	P	0.52	regulation of biological process
GO:0050794	P	0.50	regulation of cellular process
GO:0044699	P	0.50	single-organism process
GO:0042787	P	0.47	protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0016043	P	0.46	cellular component organization
GO:1901575	P	0.40	organic substance catabolic process
GO:0044763	P	0.40	single-organism cellular process
GO:0044248	P	0.40	cellular catabolic process
GO:0006511	P	0.38	ubiquitin-dependent protein catabolic process
GO:0043933	P	0.35	macromolecular complex subunit organization
GO:0022607	P	0.35	cellular component assembly
GO:0006461	P	0.34	protein complex assembly
GO:0051259	P	0.31	protein oligomerization
GO:0032502	P	0.26	developmental process
GO:0044767	P	0.25	single-organism developmental process
GO:0051179	P	0.23	localization
GO:0080090	P	0.21	regulation of primary metabolic process
GO:0060255	P	0.21	regulation of macromolecule metabolic process
GO:0051704	P	0.21	multi-organism process
GO:0048856	P	0.21	anatomical structure development
GO:0031323	P	0.20	regulation of cellular metabolic process
GO:0016032	P	0.19	viral process
GO:0048519	P	0.18	negative regulation of biological process
GO:2000112	P	0.16	regulation of cellular macromolecule biosynthetic process
GO:0051171	P	0.16	regulation of nitrogen compound metabolic process
GO:0048518	P	0.16	positive regulation of biological process
GO:0010468	P	0.16	regulation of gene expression
GO:0090304	P	0.15	nucleic acid metabolic process
GO:0006810	P	0.15	transport
GO:0006355	P	0.15	regulation of transcription, DNA-templated
GO:0050896	P	0.14	response to stimulus
GO:0048583	P	0.14	regulation of response to stimulus
GO:0048523	P	0.14	negative regulation of cellular process
GO:0016070	P	0.14	RNA metabolic process
GO:0048869	P	0.13	cellular developmental process
GO:0044271	P	0.13	cellular nitrogen compound biosynthetic process
GO:0009059	P	0.13	macromolecule biosynthetic process
GO:0006996	P	0.13	organelle organization
GO:0048468	P	0.12	cell development
GO:0032774	P	0.12	RNA biosynthetic process
GO:0022402	P	0.12	cell cycle process
GO:0002376	P	0.12	immune system process
GO:1903047	P	0.11	mitotic cell cycle process
GO:0051726	P	0.11	regulation of cell cycle
GO:0051128	P	0.11	regulation of cellular component organization
GO:0048513	P	0.11	animal organ development
GO:0044710	P	0.11	single-organism metabolic process
GO:0007165	P	0.11	signal transduction
GO:0002253	P	0.11	activation of immune response
