GO:0044699	P	0.88	single-organism process
GO:0006810	P	0.86	transport
GO:0006811	P	0.85	ion transport
GO:0065007	P	0.78	biological regulation
GO:0030001	P	0.71	metal ion transport
GO:0050789	P	0.70	regulation of biological process
GO:0006813	P	0.70	potassium ion transport
GO:0009987	P	0.68	cellular process
GO:0044763	P	0.60	single-organism cellular process
GO:0065008	P	0.57	regulation of biological quality
GO:0055085	P	0.50	transmembrane transport
GO:0032501	P	0.49	multicellular organismal process
GO:0034220	P	0.47	ion transmembrane transport
GO:0032502	P	0.47	developmental process
GO:0044767	P	0.46	single-organism developmental process
GO:0003008	P	0.46	system process
GO:0050794	P	0.45	regulation of cellular process
GO:0048856	P	0.44	anatomical structure development
GO:0051239	P	0.43	regulation of multicellular organismal process
GO:0044057	P	0.40	regulation of system process
GO:0042391	P	0.40	regulation of membrane potential
GO:0051049	P	0.36	regulation of transport
GO:0098662	P	0.30	inorganic cation transmembrane transport
GO:0071805	P	0.29	potassium ion transmembrane transport
GO:0044700	P	0.29	single organism signaling
GO:0051046	P	0.27	regulation of secretion
GO:0044707	P	0.26	single-multicellular organism process
GO:0003014	P	0.25	renal system process
GO:0086009	P	0.23	membrane repolarization
GO:0050896	P	0.23	response to stimulus
GO:0008016	P	0.23	regulation of heart contraction
GO:0070293	P	0.22	renal absorption
GO:0060453	P	0.22	regulation of gastric acid secretion
GO:0050892	P	0.22	intestinal absorption
GO:0050877	P	0.22	neurological system process
GO:0048839	P	0.22	inner ear development
GO:0007154	P	0.22	cell communication
GO:0008152	P	0.21	metabolic process
GO:0002027	P	0.21	regulation of heart rate
GO:0007600	P	0.20	sensory perception
GO:0007268	P	0.20	chemical synaptic transmission
GO:0060048	P	0.19	cardiac muscle contraction
GO:0042221	P	0.19	response to chemical
GO:0048518	P	0.18	positive regulation of biological process
GO:0048519	P	0.17	negative regulation of biological process
GO:0007165	P	0.16	signal transduction
GO:0071704	P	0.15	organic substance metabolic process
GO:0051716	P	0.15	cellular response to stimulus
GO:0019233	P	0.15	sensory perception of pain
GO:0010959	P	0.15	regulation of metal ion transport
GO:0001508	P	0.15	action potential
GO:1904062	P	0.14	regulation of cation transmembrane transport
GO:0070887	P	0.14	cellular response to chemical stimulus
GO:0048522	P	0.14	positive regulation of cellular process
GO:0044238	P	0.14	primary metabolic process
GO:0016043	P	0.14	cellular component organization
GO:0044237	P	0.13	cellular metabolic process
GO:0043266	P	0.13	regulation of potassium ion transport
GO:0001700	P	0.13	embryonic development via the syncytial blastoderm
GO:1901379	P	0.12	regulation of potassium ion transmembrane transport
GO:0051050	P	0.12	positive regulation of transport
GO:0048523	P	0.12	negative regulation of cellular process
GO:0065009	P	0.11	regulation of molecular function
GO:0048583	P	0.11	regulation of response to stimulus
GO:0023051	P	0.11	regulation of signaling
GO:0010646	P	0.11	regulation of cell communication
GO:0010033	P	0.11	response to organic substance
