GO:0009987	P	0.87	cellular process
GO:0044699	P	0.76	single-organism process
GO:0065007	P	0.73	biological regulation
GO:0044763	P	0.63	single-organism cellular process
GO:0050789	P	0.55	regulation of biological process
GO:0050794	P	0.54	regulation of cellular process
GO:0071704	P	0.50	organic substance metabolic process
GO:0044238	P	0.49	primary metabolic process
GO:0044237	P	0.48	cellular metabolic process
GO:0032502	P	0.48	developmental process
GO:0043170	P	0.47	macromolecule metabolic process
GO:0044767	P	0.46	single-organism developmental process
GO:0044260	P	0.45	cellular macromolecule metabolic process
GO:0032501	P	0.43	multicellular organismal process
GO:0044707	P	0.40	single-multicellular organism process
GO:0048856	P	0.39	anatomical structure development
GO:0065008	P	0.38	regulation of biological quality
GO:0051179	P	0.34	localization
GO:0016043	P	0.33	cellular component organization
GO:0006810	P	0.32	transport
GO:0009653	P	0.30	anatomical structure morphogenesis
GO:0019222	P	0.28	regulation of metabolic process
GO:0080090	P	0.27	regulation of primary metabolic process
GO:0060255	P	0.27	regulation of macromolecule metabolic process
GO:0048518	P	0.27	positive regulation of biological process
GO:0031323	P	0.27	regulation of cellular metabolic process
GO:0048731	P	0.26	system development
GO:0034641	P	0.26	cellular nitrogen compound metabolic process
GO:0007267	P	0.26	cell-cell signaling
GO:0090304	P	0.25	nucleic acid metabolic process
GO:0048519	P	0.25	negative regulation of biological process
GO:0007475	P	0.25	apposition of dorsal and ventral imaginal disc-derived wing surfaces
GO:0007424	P	0.25	open tracheal system development
GO:0048522	P	0.24	positive regulation of cellular process
GO:0019538	P	0.24	protein metabolic process
GO:0016070	P	0.24	RNA metabolic process
GO:0007165	P	0.24	signal transduction
GO:0090066	P	0.23	regulation of anatomical structure size
GO:1901576	P	0.22	organic substance biosynthetic process
GO:0044267	P	0.22	cellular protein metabolic process
GO:0044249	P	0.22	cellular biosynthetic process
GO:0042335	P	0.22	cuticle development
GO:0022404	P	0.22	molting cycle process
GO:2000112	P	0.21	regulation of cellular macromolecule biosynthetic process
GO:0051171	P	0.21	regulation of nitrogen compound metabolic process
GO:0046331	P	0.21	lateral inhibition
GO:0044719	P	0.21	regulation of imaginal disc-derived wing size
GO:0043412	P	0.21	macromolecule modification
GO:0040005	P	0.21	chitin-based cuticle attachment to epithelium
GO:0010468	P	0.21	regulation of gene expression
GO:0008362	P	0.21	chitin-based embryonic cuticle biosynthetic process
GO:0050896	P	0.20	response to stimulus
GO:0048523	P	0.20	negative regulation of cellular process
GO:0019219	P	0.20	regulation of nucleobase-containing compound metabolic process
GO:0009059	P	0.20	macromolecule biosynthetic process
GO:0006464	P	0.20	cellular protein modification process
GO:0032774	P	0.19	RNA biosynthetic process
GO:0006355	P	0.19	regulation of transcription, DNA-templated
GO:0034645	P	0.18	cellular macromolecule biosynthetic process
GO:0008104	P	0.17	protein localization
GO:0006996	P	0.17	organelle organization
GO:0006351	P	0.17	transcription, DNA-templated
GO:0051128	P	0.16	regulation of cellular component organization
GO:0051649	P	0.15	establishment of localization in cell
GO:0044765	P	0.15	single-organism transport
GO:0044710	P	0.15	single-organism metabolic process
GO:0031325	P	0.15	positive regulation of cellular metabolic process
GO:0015031	P	0.15	protein transport
GO:0010604	P	0.15	positive regulation of macromolecule metabolic process
GO:0006950	P	0.15	response to stress
GO:0051641	P	0.14	cellular localization
GO:0048869	P	0.14	cellular developmental process
GO:1902680	P	0.12	positive regulation of RNA biosynthetic process
GO:1902589	P	0.12	single-organism organelle organization
GO:0065009	P	0.12	regulation of molecular function
GO:0051716	P	0.12	cellular response to stimulus
GO:0022607	P	0.12	cellular component assembly
GO:0010628	P	0.12	positive regulation of gene expression
GO:0010605	P	0.12	negative regulation of macromolecule metabolic process
GO:0007010	P	0.12	cytoskeleton organization
GO:0046907	P	0.11	intracellular transport
GO:0043933	P	0.11	macromolecular complex subunit organization
GO:0022402	P	0.11	cell cycle process
GO:0007017	P	0.11	microtubule-based process
