GO:0003824	F	0.54	catalytic activity
GO:0043169	F	0.40	cation binding
GO:0036094	F	0.39	small molecule binding
GO:0005198	F	0.39	structural molecule activity
GO:0033218	F	0.33	amide binding
GO:1901363	F	0.30	heterocyclic compound binding
GO:0097159	F	0.30	organic cyclic compound binding
GO:0072341	F	0.30	modified amino acid binding
GO:0019842	F	0.30	vitamin binding
GO:0005201	F	0.26	extracellular matrix structural constituent
GO:0016740	F	0.24	transferase activity
GO:0003676	F	0.23	nucleic acid binding
GO:0016787	F	0.15	hydrolase activity
GO:0046872	F	0.14	metal ion binding
GO:0044822	F	0.14	poly(A) RNA binding
GO:0016772	F	0.13	transferase activity, transferring phosphorus-containing groups
GO:0005215	F	0.13	transporter activity
GO:0004872	F	0.12	receptor activity
GO:0004871	F	0.12	signal transducer activity
