GO:0019787	F	0.97	ubiquitin-like protein transferase activity
GO:0004842	F	0.94	ubiquitin-protein transferase activity
GO:1901363	F	0.40	heterocyclic compound binding
GO:0097159	F	0.40	organic cyclic compound binding
GO:0000166	F	0.22	nucleotide binding
GO:0003676	F	0.20	nucleic acid binding
GO:0035639	F	0.19	purine ribonucleoside triphosphate binding
GO:0032555	F	0.19	purine ribonucleotide binding
GO:0032550	F	0.19	purine ribonucleoside binding
GO:0004298	F	0.17	threonine-type endopeptidase activity
GO:0005524	F	0.16	ATP binding
GO:0003677	F	0.13	DNA binding
GO:0046872	F	0.11	metal ion binding
