GO:0009987	P	0.96	cellular process
GO:0044699	P	0.94	single-organism process
GO:0044763	P	0.90	single-organism cellular process
GO:0065007	P	0.87	biological regulation
GO:0050789	P	0.86	regulation of biological process
GO:0050794	P	0.85	regulation of cellular process
GO:0016043	P	0.83	cellular component organization
GO:0044767	P	0.82	single-organism developmental process
GO:0048518	P	0.79	positive regulation of biological process
GO:0050793	P	0.77	regulation of developmental process
GO:0051128	P	0.74	regulation of cellular component organization
GO:0019222	P	0.73	regulation of metabolic process
GO:0060255	P	0.72	regulation of macromolecule metabolic process
GO:0048519	P	0.72	negative regulation of biological process
GO:0048522	P	0.71	positive regulation of cellular process
GO:0045595	P	0.71	regulation of cell differentiation
GO:0022604	P	0.69	regulation of cell morphogenesis
GO:0051239	P	0.68	regulation of multicellular organismal process
GO:0051094	P	0.68	positive regulation of developmental process
GO:0010769	P	0.68	regulation of cell morphogenesis involved in differentiation
GO:2000026	P	0.67	regulation of multicellular organismal development
GO:0009653	P	0.67	anatomical structure morphogenesis
GO:0048869	P	0.65	cellular developmental process
GO:0010468	P	0.65	regulation of gene expression
GO:0009893	P	0.65	positive regulation of metabolic process
GO:0051130	P	0.64	positive regulation of cellular component organization
GO:0010604	P	0.64	positive regulation of macromolecule metabolic process
GO:0048646	P	0.62	anatomical structure formation involved in morphogenesis
GO:0010605	P	0.62	negative regulation of macromolecule metabolic process
GO:0031323	P	0.61	regulation of cellular metabolic process
GO:0010717	P	0.61	regulation of epithelial to mesenchymal transition
GO:0003188	P	0.61	heart valve formation
GO:0080090	P	0.60	regulation of primary metabolic process
GO:0045597	P	0.59	positive regulation of cell differentiation
GO:0008152	P	0.59	metabolic process
GO:0048523	P	0.58	negative regulation of cellular process
GO:0051246	P	0.57	regulation of protein metabolic process
GO:0071704	P	0.56	organic substance metabolic process
GO:0010770	P	0.56	positive regulation of cell morphogenesis involved in differentiation
GO:0051240	P	0.55	positive regulation of multicellular organismal process
GO:0044238	P	0.55	primary metabolic process
GO:0032879	P	0.55	regulation of localization
GO:0051960	P	0.54	regulation of nervous system development
GO:0044237	P	0.54	cellular metabolic process
GO:0030334	P	0.54	regulation of cell migration
GO:0061024	P	0.53	membrane organization
GO:0048856	P	0.53	anatomical structure development
GO:0043170	P	0.53	macromolecule metabolic process
GO:0022607	P	0.53	cellular component assembly
GO:0051171	P	0.52	regulation of nitrogen compound metabolic process
GO:0045162	P	0.52	clustering of voltage-gated sodium channels
GO:0034641	P	0.51	cellular nitrogen compound metabolic process
GO:0061387	P	0.50	regulation of extent of cell growth
GO:0050770	P	0.50	regulation of axonogenesis
GO:0048638	P	0.50	regulation of developmental growth
