GO:0004872	F	0.63	receptor activity
GO:0038023	F	0.59	signaling receptor activity
GO:0003824	F	0.59	catalytic activity
GO:0016787	F	0.56	hydrolase activity
GO:0004888	F	0.56	transmembrane signaling receptor activity
GO:0004930	F	0.55	G-protein coupled receptor activity
GO:0043169	F	0.43	cation binding
GO:0009881	F	0.37	photoreceptor activity
GO:0004553	F	0.37	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004117	F	0.29	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
GO:0097159	F	0.26	organic cyclic compound binding
GO:1901363	F	0.18	heterocyclic compound binding
GO:0003676	F	0.12	nucleic acid binding
