GO:0065007	P	0.62	biological regulation
GO:0009987	P	0.60	cellular process
GO:0050789	P	0.56	regulation of biological process
GO:0050794	P	0.55	regulation of cellular process
GO:0071704	P	0.42	organic substance metabolic process
GO:0044237	P	0.40	cellular metabolic process
GO:0044238	P	0.39	primary metabolic process
GO:0016043	P	0.33	cellular component organization
GO:0051234	P	0.32	establishment of localization
GO:0048518	P	0.29	positive regulation of biological process
GO:0048522	P	0.27	positive regulation of cellular process
GO:0043170	P	0.27	macromolecule metabolic process
GO:0080090	P	0.26	regulation of primary metabolic process
GO:0031323	P	0.26	regulation of cellular metabolic process
GO:0032502	P	0.25	developmental process
GO:0060255	P	0.24	regulation of macromolecule metabolic process
GO:0044260	P	0.24	cellular macromolecule metabolic process
GO:0006807	P	0.23	nitrogen compound metabolic process
GO:0048856	P	0.21	anatomical structure development
GO:0034641	P	0.21	cellular nitrogen compound metabolic process
GO:0050896	P	0.19	response to stimulus
GO:0006139	P	0.19	nucleobase-containing compound metabolic process
GO:0009893	P	0.18	positive regulation of metabolic process
GO:0051246	P	0.17	regulation of protein metabolic process
GO:0048523	P	0.17	negative regulation of cellular process
GO:0031325	P	0.17	positive regulation of cellular metabolic process
GO:0090304	P	0.16	nucleic acid metabolic process
GO:0065008	P	0.16	regulation of biological quality
GO:0045184	P	0.16	establishment of protein localization
GO:0044255	P	0.16	cellular lipid metabolic process
GO:0032268	P	0.16	regulation of cellular protein metabolic process
GO:0010604	P	0.16	positive regulation of macromolecule metabolic process
GO:0007165	P	0.16	signal transduction
GO:0065009	P	0.15	regulation of molecular function
GO:0051128	P	0.15	regulation of cellular component organization
GO:0019538	P	0.15	protein metabolic process
GO:0016070	P	0.15	RNA metabolic process
GO:0006996	P	0.15	organelle organization
GO:0050790	P	0.14	regulation of catalytic activity
GO:0048869	P	0.14	cellular developmental process
GO:0006796	P	0.14	phosphate-containing compound metabolic process
GO:0006464	P	0.14	cellular protein modification process
GO:0022607	P	0.13	cellular component assembly
GO:0016310	P	0.13	phosphorylation
GO:0009653	P	0.13	anatomical structure morphogenesis
GO:0009058	P	0.13	biosynthetic process
GO:0006810	P	0.13	transport
GO:1901576	P	0.12	organic substance biosynthetic process
GO:0046486	P	0.12	glycerolipid metabolic process
GO:0044281	P	0.12	small molecule metabolic process
GO:0044249	P	0.12	cellular biosynthetic process
GO:0043933	P	0.12	protein-containing complex subunit organization
GO:0043085	P	0.12	positive regulation of catalytic activity
GO:0032501	P	0.12	multicellular organismal process
GO:0032270	P	0.12	positive regulation of cellular protein metabolic process
GO:0031399	P	0.12	regulation of protein modification process
GO:0031326	P	0.12	regulation of cellular biosynthetic process
GO:0031324	P	0.12	negative regulation of cellular metabolic process
GO:0023051	P	0.12	regulation of signaling
GO:0010646	P	0.12	regulation of cell communication
GO:0010605	P	0.12	negative regulation of macromolecule metabolic process
GO:0006950	P	0.12	response to stress
GO:0090150	P	0.11	establishment of protein localization to membrane
GO:0072659	P	0.11	protein localization to plasma membrane
GO:0051338	P	0.11	regulation of transferase activity
GO:0032879	P	0.11	regulation of localization
GO:0031401	P	0.11	positive regulation of protein modification process
GO:0006650	P	0.11	glycerophospholipid metabolic process
