GO:0044699	P	0.92	single-organism process
GO:0022414	P	0.91	reproductive process
GO:0044702	P	0.90	single organism reproductive process
GO:0065007	P	0.69	biological regulation
GO:0050789	P	0.69	regulation of biological process
GO:0044763	P	0.68	single-organism cellular process
GO:0007339	P	0.67	binding of sperm to zona pellucida
GO:2000241	P	0.66	regulation of reproductive process
GO:0043900	P	0.66	regulation of multi-organism process
GO:0048518	P	0.65	positive regulation of biological process
GO:2000344	P	0.64	positive regulation of acrosome reaction
GO:0035803	P	0.63	egg coat formation
GO:0050896	P	0.55	response to stimulus
GO:0048856	P	0.47	anatomical structure development
GO:0044767	P	0.47	single-organism developmental process
GO:1901654	P	0.46	response to ketone
GO:0009725	P	0.46	response to hormone
GO:0048545	P	0.45	response to steroid hormone
GO:0003006	P	0.44	developmental process involved in reproduction
GO:0048513	P	0.32	animal organ development
GO:0001890	P	0.30	placenta development
GO:0048519	P	0.21	negative regulation of biological process
GO:0006810	P	0.19	transport
GO:0007165	P	0.18	signal transduction
GO:0006886	P	0.18	intracellular protein transport
GO:0006828	P	0.18	manganese ion transport
GO:0048584	P	0.17	positive regulation of response to stimulus
GO:0048523	P	0.17	negative regulation of cellular process
GO:0006955	P	0.17	immune response
GO:0060467	P	0.16	negative regulation of fertilization
GO:0051270	P	0.16	regulation of cellular component movement
GO:0048869	P	0.16	cellular developmental process
GO:0048646	P	0.16	anatomical structure formation involved in morphogenesis
GO:0044093	P	0.16	positive regulation of molecular function
GO:0035556	P	0.16	intracellular signal transduction
GO:0009967	P	0.16	positive regulation of signal transduction
GO:0008284	P	0.16	positive regulation of cell proliferation
GO:0006355	P	0.16	regulation of transcription, DNA-templated
GO:0002922	P	0.16	positive regulation of humoral immune response
GO:2000026	P	0.15	regulation of multicellular organismal development
GO:0070528	P	0.15	protein kinase C signaling
GO:0045860	P	0.15	positive regulation of protein kinase activity
GO:0042102	P	0.15	positive regulation of T cell proliferation
GO:0030334	P	0.15	regulation of cell migration
GO:0010629	P	0.15	negative regulation of gene expression
GO:0002455	P	0.15	humoral immune response mediated by circulating immunoglobulin
GO:2000388	P	0.14	positive regulation of antral ovarian follicle growth
GO:2000368	P	0.14	positive regulation of acrosomal vesicle exocytosis
GO:0090280	P	0.14	positive regulation of calcium ion import
GO:0051897	P	0.14	positive regulation of protein kinase B signaling
GO:0048599	P	0.14	oocyte development
GO:0048015	P	0.14	phosphatidylinositol-mediated signaling
GO:0045893	P	0.14	positive regulation of transcription, DNA-templated
GO:0045892	P	0.14	negative regulation of transcription, DNA-templated
GO:0032753	P	0.14	positive regulation of interleukin-4 production
GO:0032729	P	0.14	positive regulation of interferon-gamma production
GO:0010513	P	0.14	positive regulation of phosphatidylinositol biosynthetic process
GO:0002687	P	0.14	positive regulation of leukocyte migration
GO:0001825	P	0.14	blastocyst formation
GO:0001809	P	0.14	positive regulation of type IV hypersensitivity
GO:2000360	P	0.12	negative regulation of binding of sperm to zona pellucida
GO:0040007	P	0.11	growth
