GO:0065007	P	0.72	biological regulation
GO:0050794	P	0.71	regulation of cellular process
GO:0044699	P	0.60	single-organism process
GO:0009987	P	0.58	cellular process
GO:0048518	P	0.50	positive regulation of biological process
GO:0048522	P	0.48	positive regulation of cellular process
GO:0048584	P	0.47	positive regulation of response to stimulus
GO:0044767	P	0.47	single-organism developmental process
GO:2000774	P	0.46	positive regulation of cellular senescence
GO:0008152	P	0.44	metabolic process
GO:0071704	P	0.40	organic substance metabolic process
GO:0044237	P	0.40	cellular metabolic process
GO:0044238	P	0.39	primary metabolic process
GO:0043170	P	0.36	macromolecule metabolic process
GO:0044260	P	0.35	cellular macromolecule metabolic process
GO:0044267	P	0.28	cellular protein metabolic process
GO:0007165	P	0.27	signal transduction
GO:0006464	P	0.27	cellular protein modification process
GO:0048856	P	0.25	anatomical structure development
GO:0048513	P	0.24	animal organ development
GO:0035556	P	0.23	intracellular signal transduction
GO:0007420	P	0.23	brain development
GO:0009653	P	0.22	anatomical structure morphogenesis
GO:0044763	P	0.21	single-organism cellular process
GO:0007476	P	0.21	imaginal disc-derived wing morphogenesis
GO:0032446	P	0.16	protein modification by small protein conjugation
GO:0016567	P	0.15	protein ubiquitination
GO:0006508	P	0.15	proteolysis
GO:0043161	P	0.14	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0006810	P	0.14	transport
GO:0006807	P	0.14	nitrogen compound metabolic process
GO:0006796	P	0.14	phosphate-containing compound metabolic process
GO:1901576	P	0.13	organic substance biosynthetic process
GO:0044249	P	0.13	cellular biosynthetic process
GO:0071702	P	0.11	organic substance transport
GO:0006468	P	0.11	protein phosphorylation
