GO:0048741	P	1.00	skeletal muscle fiber development
GO:0008152	P	0.35	metabolic process
GO:0071704	P	0.30	organic substance metabolic process
GO:0044237	P	0.30	cellular metabolic process
GO:0044238	P	0.29	primary metabolic process
GO:0043170	P	0.22	macromolecule metabolic process
GO:0065007	P	0.21	biological regulation
GO:0044260	P	0.21	cellular macromolecule metabolic process
GO:0006807	P	0.21	nitrogen compound metabolic process
GO:0050789	P	0.20	regulation of biological process
GO:0034641	P	0.20	cellular nitrogen compound metabolic process
GO:0006139	P	0.18	nucleobase-containing compound metabolic process
GO:0090304	P	0.14	nucleic acid metabolic process
GO:0071840	P	0.13	cellular component organization or biogenesis
GO:0050794	P	0.13	regulation of cellular process
GO:0016070	P	0.13	RNA metabolic process
GO:0016043	P	0.12	cellular component organization
GO:0051179	P	0.11	localization
