GO:0009987	P	0.78	cellular process
GO:0044699	P	0.71	single-organism process
GO:0065007	P	0.67	biological regulation
GO:0050789	P	0.66	regulation of biological process
GO:0050794	P	0.63	regulation of cellular process
GO:0044763	P	0.62	single-organism cellular process
GO:0016043	P	0.40	cellular component organization
GO:0008152	P	0.38	metabolic process
GO:0006928	P	0.36	movement of cell or subcellular component
GO:0071704	P	0.35	organic substance metabolic process
GO:0044237	P	0.32	cellular metabolic process
GO:0044238	P	0.31	primary metabolic process
GO:0051179	P	0.29	localization
GO:0006996	P	0.29	organelle organization
GO:0048518	P	0.28	positive regulation of biological process
GO:0048522	P	0.27	positive regulation of cellular process
GO:0043170	P	0.27	macromolecule metabolic process
GO:0019222	P	0.27	regulation of metabolic process
GO:0080090	P	0.26	regulation of primary metabolic process
GO:0051234	P	0.26	establishment of localization
GO:0048583	P	0.26	regulation of response to stimulus
GO:0031323	P	0.26	regulation of cellular metabolic process
GO:0007017	P	0.26	microtubule-based process
GO:0032502	P	0.25	developmental process
GO:0009966	P	0.25	regulation of signal transduction
GO:0044767	P	0.24	single-organism developmental process
GO:0044260	P	0.24	cellular macromolecule metabolic process
GO:0006810	P	0.24	transport
GO:0006807	P	0.24	nitrogen compound metabolic process
GO:1902589	P	0.23	single-organism organelle organization
GO:1901576	P	0.23	organic substance biosynthetic process
GO:0060255	P	0.22	regulation of macromolecule metabolic process
GO:0019538	P	0.22	protein metabolic process
GO:0051128	P	0.21	regulation of cellular component organization
GO:0048523	P	0.21	negative regulation of cellular process
GO:0044249	P	0.21	cellular biosynthetic process
GO:0007010	P	0.21	cytoskeleton organization
GO:0007018	P	0.20	microtubule-based movement
GO:1901564	P	0.19	organonitrogen compound metabolic process
GO:0048856	P	0.19	anatomical structure development
GO:0044267	P	0.19	cellular protein metabolic process
GO:1901566	P	0.18	organonitrogen compound biosynthetic process
GO:0034641	P	0.18	cellular nitrogen compound metabolic process
GO:0033043	P	0.18	regulation of organelle organization
GO:0031326	P	0.18	regulation of cellular biosynthetic process
GO:0051641	P	0.17	cellular localization
GO:0048869	P	0.17	cellular developmental process
GO:0032501	P	0.17	multicellular organismal process
GO:0009893	P	0.17	positive regulation of metabolic process
GO:0007165	P	0.17	signal transduction
GO:0065009	P	0.16	regulation of molecular function
GO:0051649	P	0.16	establishment of localization in cell
GO:0050896	P	0.16	response to stimulus
GO:0031325	P	0.16	positive regulation of cellular metabolic process
GO:0030029	P	0.16	actin filament-based process
GO:0022607	P	0.16	cellular component assembly
GO:0050790	P	0.15	regulation of catalytic activity
GO:0044710	P	0.15	single-organism metabolic process
GO:0032879	P	0.15	regulation of localization
GO:0032101	P	0.15	regulation of response to external stimulus
GO:0030036	P	0.15	actin cytoskeleton organization
GO:0050793	P	0.14	regulation of developmental process
GO:0019219	P	0.14	regulation of nucleobase-containing compound metabolic process
GO:0016192	P	0.14	vesicle-mediated transport
GO:0010556	P	0.14	regulation of macromolecule biosynthetic process
GO:2001141	P	0.13	regulation of RNA biosynthetic process
GO:1902578	P	0.13	single-organism localization
GO:0051336	P	0.13	regulation of hydrolase activity
GO:0030048	P	0.13	actin filament-based movement
GO:0010604	P	0.13	positive regulation of macromolecule metabolic process
GO:0009059	P	0.13	macromolecule biosynthetic process
GO:0007186	P	0.13	G-protein coupled receptor signaling pathway
GO:0065008	P	0.12	regulation of biological quality
GO:0051239	P	0.12	regulation of multicellular organismal process
GO:0046907	P	0.12	intracellular transport
GO:0044765	P	0.12	single-organism transport
GO:0044271	P	0.12	cellular nitrogen compound biosynthetic process
GO:0031032	P	0.12	actomyosin structure organization
GO:0006950	P	0.12	response to stress
GO:0006796	P	0.12	phosphate-containing compound metabolic process
GO:2000112	P	0.11	regulation of cellular macromolecule biosynthetic process
GO:0051716	P	0.11	cellular response to stimulus
GO:0048584	P	0.11	positive regulation of response to stimulus
GO:0045184	P	0.11	establishment of protein localization
GO:0043043	P	0.11	peptide biosynthetic process
GO:0033275	P	0.11	actin-myosin filament sliding
GO:0031328	P	0.11	positive regulation of cellular biosynthetic process
GO:0022414	P	0.11	reproductive process
GO:0010639	P	0.11	negative regulation of organelle organization
GO:0010468	P	0.11	regulation of gene expression
GO:0008104	P	0.11	protein localization
GO:0006464	P	0.11	cellular protein modification process
