GO:0016043	P	0.99	cellular component organization
GO:0006996	P	0.98	organelle organization
GO:0044699	P	0.79	single-organism process
GO:0044763	P	0.78	single-organism cellular process
GO:0065007	P	0.64	biological regulation
GO:0050789	P	0.64	regulation of biological process
GO:0050794	P	0.63	regulation of cellular process
GO:0007165	P	0.56	signal transduction
GO:0030036	P	0.52	actin cytoskeleton organization
GO:0044767	P	0.51	single-organism developmental process
GO:0022414	P	0.47	reproductive process
GO:0007166	P	0.46	cell surface receptor signaling pathway
GO:0007140	P	0.46	male meiosis
GO:0048583	P	0.43	regulation of response to stimulus
GO:0048523	P	0.38	negative regulation of cellular process
GO:0009653	P	0.38	anatomical structure morphogenesis
GO:0048869	P	0.36	cellular developmental process
GO:0030030	P	0.36	cell projection organization
GO:0019222	P	0.36	regulation of metabolic process
GO:0009966	P	0.36	regulation of signal transduction
GO:0080090	P	0.35	regulation of primary metabolic process
GO:0060255	P	0.35	regulation of macromolecule metabolic process
GO:0048858	P	0.35	cell projection morphogenesis
GO:0048585	P	0.35	negative regulation of response to stimulus
GO:0031323	P	0.35	regulation of cellular metabolic process
GO:0051246	P	0.34	regulation of protein metabolic process
GO:0050790	P	0.34	regulation of catalytic activity
GO:0019220	P	0.34	regulation of phosphate metabolic process
GO:0009968	P	0.34	negative regulation of signal transduction
GO:0007409	P	0.34	axonogenesis
GO:1902531	P	0.33	regulation of intracellular signal transduction
GO:0045936	P	0.33	negative regulation of phosphate metabolic process
GO:0010605	P	0.33	negative regulation of macromolecule metabolic process
GO:0001932	P	0.33	regulation of protein phosphorylation
GO:0046426	P	0.32	negative regulation of JAK-STAT cascade
GO:0019221	P	0.32	cytokine-mediated signaling pathway
GO:0006469	P	0.32	negative regulation of protein kinase activity
GO:0051239	P	0.19	regulation of multicellular organismal process
GO:2000026	P	0.17	regulation of multicellular organismal development
GO:0051128	P	0.17	regulation of cellular component organization
GO:0051960	P	0.16	regulation of nervous system development
GO:0045595	P	0.15	regulation of cell differentiation
GO:0050770	P	0.14	regulation of axonogenesis
GO:0048518	P	0.14	positive regulation of biological process
GO:0060560	P	0.13	developmental growth involved in morphogenesis
GO:0048846	P	0.12	axon extension involved in axon guidance
GO:0035385	P	0.12	Roundabout signaling pathway
