GO:0009987	P	0.90	cellular process
GO:0044699	P	0.82	single-organism process
GO:0044763	P	0.64	single-organism cellular process
GO:0008152	P	0.64	metabolic process
GO:0071704	P	0.62	organic substance metabolic process
GO:0044238	P	0.61	primary metabolic process
GO:0044237	P	0.61	cellular metabolic process
GO:0006807	P	0.50	nitrogen compound metabolic process
GO:0044710	P	0.49	single-organism metabolic process
GO:1901576	P	0.46	organic substance biosynthetic process
GO:0044281	P	0.46	small molecule metabolic process
GO:0044249	P	0.46	cellular biosynthetic process
GO:1901564	P	0.45	organonitrogen compound metabolic process
GO:1901566	P	0.44	organonitrogen compound biosynthetic process
GO:0065007	P	0.44	biological regulation
GO:0044711	P	0.43	single-organism biosynthetic process
GO:0019752	P	0.43	carboxylic acid metabolic process
GO:0043650	P	0.42	dicarboxylic acid biosynthetic process
GO:0009084	P	0.42	glutamine family amino acid biosynthetic process
GO:0006536	P	0.42	glutamate metabolic process
GO:0006520	P	0.42	cellular amino acid metabolic process
GO:0051179	P	0.41	localization
GO:0050789	P	0.41	regulation of biological process
GO:0051234	P	0.40	establishment of localization
GO:0006810	P	0.39	transport
GO:0050794	P	0.38	regulation of cellular process
GO:0008104	P	0.36	protein localization
GO:0051649	P	0.34	establishment of localization in cell
GO:0051641	P	0.34	cellular localization
GO:0015031	P	0.34	protein transport
GO:0046907	P	0.33	intracellular transport
GO:0044765	P	0.32	single-organism transport
GO:0034613	P	0.32	cellular protein localization
GO:0033365	P	0.31	protein localization to organelle
GO:0006886	P	0.31	intracellular protein transport
GO:1902582	P	0.30	single-organism intracellular transport
GO:0044260	P	0.30	cellular macromolecule metabolic process
GO:0072594	P	0.29	establishment of protein localization to organelle
GO:0006457	P	0.28	protein folding
GO:0017038	P	0.27	protein import
GO:0016043	P	0.26	cellular component organization
GO:0006607	P	0.26	NLS-bearing protein import into nucleus
GO:0019222	P	0.22	regulation of metabolic process
GO:0061077	P	0.21	chaperone-mediated protein folding
GO:0050896	P	0.21	response to stimulus
GO:0019538	P	0.21	protein metabolic process
GO:0080090	P	0.20	regulation of primary metabolic process
GO:0060255	P	0.20	regulation of macromolecule metabolic process
GO:0032502	P	0.20	developmental process
GO:0044767	P	0.19	single-organism developmental process
GO:0031323	P	0.18	regulation of cellular metabolic process
GO:0044267	P	0.17	cellular protein metabolic process
GO:0022607	P	0.17	cellular component assembly
GO:0048519	P	0.16	negative regulation of biological process
GO:0048518	P	0.15	positive regulation of biological process
GO:0006464	P	0.15	cellular protein modification process
GO:0051246	P	0.14	regulation of protein metabolic process
GO:0048523	P	0.14	negative regulation of cellular process
GO:0034641	P	0.14	cellular nitrogen compound metabolic process
GO:0032501	P	0.14	multicellular organismal process
GO:0006950	P	0.14	response to stress
GO:0048856	P	0.13	anatomical structure development
GO:0048583	P	0.13	regulation of response to stimulus
GO:0044707	P	0.13	single-multicellular organism process
GO:0043933	P	0.13	macromolecular complex subunit organization
GO:1901360	P	0.12	organic cyclic compound metabolic process
GO:0065003	P	0.12	macromolecular complex assembly
GO:0032268	P	0.12	regulation of cellular protein metabolic process
GO:0006928	P	0.12	movement of cell or subcellular component
GO:0006725	P	0.12	cellular aromatic compound metabolic process
GO:0090304	P	0.11	nucleic acid metabolic process
GO:0034622	P	0.11	cellular macromolecular complex assembly
GO:0007165	P	0.11	signal transduction
